wavelength_nm,thickness_nm,offset_added_percent,inferred_measured_percent,inferred_simulated_percent,residual_measured_minus_simulated_percent,source_measured_column_inferred,source_simulated_column_inferred,assignment_status
780,152,420,59.7501,55.885,3.8651,B,C,inferred_not_workbook_labeled
779,152,420,59.4527,55.919,3.5337,B,C,inferred_not_workbook_labeled
778,152,420,59.2259,55.951,3.2749,B,C,inferred_not_workbook_labeled
777,152,420,60.0687,55.984,4.0847,B,C,inferred_not_workbook_labeled
776,152,420,60.4122,56.017,4.3952,B,C,inferred_not_workbook_labeled
775,152,420,59.627,56.049,3.578,B,C,inferred_not_workbook_labeled
774,152,420,60.0868,56.081,4.0058,B,C,inferred_not_workbook_labeled
773,152,420,59.8477,56.112,3.7357,B,C,inferred_not_workbook_labeled
772,152,420,60.023,56.144,3.879,B,C,inferred_not_workbook_labeled
771,152,420,59.7953,56.175,3.6203,B,C,inferred_not_workbook_labeled
770,152,420,59.8205,56.206,3.6145,B,C,inferred_not_workbook_labeled
769,152,420,60.3193,56.237,4.0823,B,C,inferred_not_workbook_labeled
768,152,420,60.3877,56.267,4.1207,B,C,inferred_not_workbook_labeled
767,152,420,60.3091,56.298,4.0111,B,C,inferred_not_workbook_labeled
766,152,420,60.247,56.328,3.919,B,C,inferred_not_workbook_labeled
765,152,420,60.2005,56.358,3.8425,B,C,inferred_not_workbook_labeled
764,152,420,60.1363,56.387,3.7493,B,C,inferred_not_workbook_labeled
763,152,420,59.7852,56.417,3.3682,B,C,inferred_not_workbook_labeled
762,152,420,59.9525,56.446,3.5065,B,C,inferred_not_workbook_labeled
761,152,420,60.0573,56.475,3.5823,B,C,inferred_not_workbook_labeled
760,152,420,60.574,56.503,4.071,B,C,inferred_not_workbook_labeled
759,152,420,60.2534,56.532,3.7214,B,C,inferred_not_workbook_labeled
758,152,420,60.1425,56.56,3.5825,B,C,inferred_not_workbook_labeled
757,152,420,60.203,56.588,3.615,B,C,inferred_not_workbook_labeled
756,152,420,60.1624,56.616,3.5464,B,C,inferred_not_workbook_labeled
755,152,420,60.4375,56.643,3.7945,B,C,inferred_not_workbook_labeled
754,152,420,60.773,56.67,4.103,B,C,inferred_not_workbook_labeled
753,152,420,60.8885,56.697,4.1915,B,C,inferred_not_workbook_labeled
752,152,420,60.5552,56.723,3.8322,B,C,inferred_not_workbook_labeled
751,152,420,60.9537,56.749,4.2047,B,C,inferred_not_workbook_labeled
750,152,420,60.7816,56.775,4.0066,B,C,inferred_not_workbook_labeled
749,152,420,60.9566,56.801,4.1556,B,C,inferred_not_workbook_labeled
748,152,420,61.4289,56.826,4.6029,B,C,inferred_not_workbook_labeled
747,152,420,60.7665,56.851,3.9155,B,C,inferred_not_workbook_labeled
746,152,420,60.8442,56.875,3.9692,B,C,inferred_not_workbook_labeled
745,152,420,60.1482,56.899,3.2492,B,C,inferred_not_workbook_labeled
744,152,420,60.7046,56.923,3.7816,B,C,inferred_not_workbook_labeled
743,152,420,61.1765,56.946,4.2305,B,C,inferred_not_workbook_labeled
