wavelength_nm,tir_reference_mean,tir_reference_theta_count,theta_min_raw_deg,theta_max_raw_deg
1150.0,108.70638570512695,6.0,45.0,60.0
1163.3,110.19827120042555,6.0,45.0,60.0
1176.7,111.69564758407621,6.0,45.0,60.0
1190.0,114.7802935979099,6.0,45.0,60.0
1203.3,119.23749375967616,6.0,45.0,60.0
1216.7,124.5170379876779,6.0,45.0,60.0
1230.0,130.1508622937527,6.0,45.0,60.0
1243.3,136.65591478145146,6.0,45.0,60.0
1256.7,143.44281677055434,6.0,45.0,60.0
1270.0,152.03728501995792,6.0,45.0,60.0
1283.3,160.13598068929207,6.0,45.0,60.0
1296.7,166.9553612361519,6.0,45.0,60.0
1310.0,172.84608876222728,6.0,45.0,60.0
1323.3,177.33550363539158,6.0,45.0,60.0
1336.7,179.3866476345742,6.0,45.0,60.0
1350.0,177.71466993307033,6.0,45.0,60.0
1363.3,174.67645006154876,6.0,45.0,60.0
1376.7,170.8746448101805,6.0,45.0,60.0
1390.0,170.62484303938567,6.0,45.0,60.0
1403.3,174.1627254573415,6.0,45.0,60.0
1416.7,179.6512142946832,6.0,45.0,60.0
1430.0,186.72136426968018,6.0,45.0,60.0
1443.3,194.41526401479703,6.0,45.0,60.0
1456.7,200.97467621351583,6.0,45.0,60.0
1470.0,207.78691086248674,6.0,45.0,60.0
1483.3,215.17385177871415,6.0,45.0,60.0
1496.7,223.18490903342152,6.0,45.0,60.0
1510.0,231.7991853671565,6.0,45.0,60.0
1523.3,239.04452816032355,6.0,45.0,60.0
1536.7,245.9918050118298,6.0,45.0,60.0
1550.0,253.51355254632895,6.0,45.0,60.0
