wavelength_nm,epsilon_real,epsilon_imag,epsilon_real_ref,epsilon_imag_ref
1046.10498,0.949581,0.307948,0.92151,0.195674
1049.4729,0.933845,0.310901,0.90789,0.205599
1052.841553,0.918059,0.313874,0.894064,0.215302
1056.210938,0.902222,0.316865,0.880038,0.224785
1059.580933,0.886335,0.319876,0.865816,0.234051
1062.95166,0.870397,0.322907,0.851402,0.243105
1066.322998,0.854409,0.325956,0.836802,0.25195
1069.694946,0.838369,0.329025,0.822018,0.260588
1073.067627,0.82228,0.332114,0.807055,0.269024
1076.440918,0.806139,0.335222,0.791918,0.27726
1079.814941,0.789948,0.33835,0.77661,0.285299
1083.189697,0.773707,0.341498,0.761134,0.293145
1086.564941,0.757415,0.344665,0.745496,0.300801
1089.940918,0.741072,0.347852,0.729699,0.30827
1093.317627,0.724679,0.351059,0.713746,0.315554
1096.694946,0.708235,0.354286,0.697641,0.322657
1100.072998,0.69174,0.357533,0.681388,0.329581
1103.451538,0.675196,0.3608,0.664989,0.336329
1106.830933,0.6586,0.364087,0.648449,0.342905
1110.210938,0.641954,0.367395,0.631772,0.349309
1113.591553,0.625257,0.370723,0.614959,0.355547
1116.9729,0.608509,0.374071,0.598014,0.361619
1120.35498,0.591711,0.377439,0.580941,0.367528
1123.737549,0.574863,0.380828,0.563743,0.373278
1127.120972,0.557964,0.384238,0.546422,0.37887
1130.505005,0.541014,0.387668,0.528982,0.384307
1133.889648,0.524014,0.391119,0.511426,0.389591
1137.275024,0.506963,0.39459,0.493756,0.394725
1140.661011,0.489862,0.398083,0.475975,0.399711
1144.047729,0.47271,0.401596,0.458086,0.404551
1147.435059,0.455508,0.40513,0.440093,0.409248
1150.822998,0.438255,0.408685,0.421996,0.413804
1154.211792,0.420951,0.412261,0.403799,0.41822
1157.601196,0.403597,0.415859,0.385506,0.4225
1160.991089,0.386193,0.419477,0.367117,0.426645
1164.381836,0.368738,0.423117,0.348636,0.430657
1167.773193,0.351232,0.426778,0.330065,0.434538
1171.165283,0.333676,0.43046,0.311407,0.438291
1174.557861,0.316069,0.434164,0.292663,0.441916
1177.951416,0.298412,0.43789,0.273835,0.445417
1181.345459,0.280704,0.441637,0.254928,0.448795
1184.73999,0.262946,0.445405,0.235942,0.452052
1188.135498,0.245137,0.449196,0.216879,0.45519
1191.531494,0.227278,0.453008,0.197742,0.458211
1194.928223,0.209368,0.456842,0.178533,0.461116
1198.325562,0.191408,0.460698,0.159254,0.463907
1201.723633,0.173397,0.464575,0.139907,0.466586
1205.122314,0.155336,0.468475,0.120494,0.469155
1208.521729,0.137225,0.472397,0.101016,0.471615
1211.921875,0.119062,0.476341,0.081476,0.473968
1215.32251,0.10085,0.480308,0.061876,0.476215
1218.723999,0.082587,0.484296,0.042217,0.478359
1222.126099,0.064273,0.488307,0.022501,0.4804
1225.528809,0.045909,0.492341,0.00273,0.482341
1228.932251,0.027495,0.496396,-0.017094,0.484182
1232.336304,0.00903,0.500475,-0.03697,0.485926
1235.741089,-0.009485,0.504576,-0.056896,0.487574
1239.146484,-0.028051,0.5087,-0.07687,0.489127
1242.552612,-0.046667,0.512846,-0.096892,0.490586
1245.959351,-0.065333,0.517015,-0.116958,0.491954
1249.366821,-0.08405,0.521207,-0.137068,0.493231
1252.774902,-0.102817,0.525422,-0.15722,0.494419
1256.183716,-0.121635,0.529661,-0.177412,0.495519
1259.59314,-0.140503,0.533922,-0.197644,0.496533
1263.003296,-0.159422,0.538206,-0.217914,0.497461
1266.414063,-0.17839,0.542513,-0.23822,0.498306
1269.825562,-0.19741,0.546844,-0.258561,0.499068
1273.237671,-0.216479,0.551198,-0.278935,0.499748
1276.650513,-0.235599,0.555576,-0.299342,0.500349
1280.063965,-0.254769,0.559976,-0.31978,0.50087
1283.478149,-0.27399,0.564401,-0.340248,0.501314
1286.892944,-0.293261,0.568849,-0.360744,0.501681
1290.308472,-0.312582,0.573321,-0.381267,0.501972
1293.724609,-0.331954,0.577816,-0.401816,0.50219
1297.141479,-0.351376,0.582335,-0.42239,0.502334
1300.55896,-0.370848,0.586878,-0.442988,0.502406
1303.977173,-0.39037,0.591445,-0.463608,0.502407
1307.395996,-0.409943,0.596036,-0.48425,0.502338
1310.815552,-0.429566,0.600651,-0.504911,0.5022
1314.235718,-0.449239,0.60529,-0.525593,0.501994
1317.656616,-0.468963,0.609953,-0.546292,0.501722
1321.078125,-0.488736,0.61464,-0.567008,0.501383
1324.500366,-0.50856,0.619352,-0.587741,0.50098
1327.923218,-0.528434,0.624088,-0.608488,0.500513
1331.346802,-0.548358,0.628848,-0.629249,0.499983
1334.771118,-0.568334,0.633633,-0.650024,0.499391
1338.196045,-0.588358,0.638443,-0.670811,0.498738
1341.621582,-0.608433,0.643277,-0.691609,0.498025
1345.047729,-0.628558,0.648136,-0.712417,0.497253
1348.474731,-0.648734,0.653019,-0.733235,0.496422
1351.902344,-0.668959,0.657928,-0.754062,0.495534
1355.330566,-0.689235,0.662861,-0.774895,0.49459
1358.759521,-0.709561,0.667819,-0.795737,0.49359
1362.189209,-0.729937,0.672802,-0.816583,0.492535
1365.619385,-0.750363,0.677811,-0.837435,0.491426
1369.050415,-0.770839,0.682844,-0.858292,0.490263
1372.482056,-0.791365,0.687903,-0.879152,0.489049
1375.914307,-0.811942,0.692987,-0.900015,0.487782
1379.347412,-0.832568,0.698096,-0.92088,0.486465
1382.781006,-0.853245,0.70323,-0.941746,0.485098
1386.215332,-0.873972,0.70839,-0.962613,0.483681
1389.650269,-0.894748,0.713576,-0.983479,0.482216
1393.08606,-0.915575,0.718787,-1.004346,0.480703
1396.522339,-0.936452,0.724024,-1.02521,0.479143
1399.959351,-0.957378,0.729287,-1.046072,0.477537
1403.397095,-0.978355,0.734575,-1.066931,0.475885
1406.835449,-0.999382,0.739889,-1.087787,0.474188
1410.274536,-1.020459,0.745229,-1.108639,0.472446
1413.714233,-1.041585,0.750595,-1.129486,0.470661
1417.154541,-1.062762,0.755987,-1.150327,0.468833
1420.595703,-1.083989,0.761405,-1.171163,0.466963
1424.037354,-1.105265,0.76685,-1.191992,0.465051
1427.479858,-1.126592,0.77232,-1.212815,0.463098
1430.922974,-1.147968,0.777817,-1.233629,0.461105
1434.366699,-1.169394,0.783341,-1.254435,0.459072
1437.811157,-1.19087,0.78889,-1.275232,0.457
1441.256226,-1.212396,0.794466,-1.29602,0.454889
1444.702026,-1.233972,0.800069,-1.316798,0.45274
1448.14856,-1.255598,0.805698,-1.337565,0.450554
1451.595703,-1.277274,0.811354,-1.358322,0.448331
1455.043457,-1.298999,0.817037,-1.379067,0.446072
1458.491943,-1.320775,0.822747,-1.399801,0.443778
1461.941162,-1.3426,0.828483,-1.420522,0.441448
