Wavelength,TiN real part of permittivity,Wavelength,AZO real part of permittivity,Wavelength,TiN imaginary part of permittivity,Wavelength,AZO imaginary part of permittivity
nm,,nm,,nm,,nm,
Film thickness 130 nm,,Film thickness 250 nm,,,,,
300,1.41001482,300,7.14181405,300,8.78682001,300,0.806679442
310,3.21431404,310,6.07746997,310,8.39767405,310,0.471257295
320,4.33925105,320,5.44011141,320,7.35280986,320,0.316799636
330,4.77342914,330,5.01541207,330,6.22861084,330,0.232584135
340,4.7719138,340,4.71115218,340,5.29009067,340,0.181418047
350,4.54945049,350,4.48143697,350,4.57706517,350,0.147925488
360,4.22873944,360,4.3009349,360,4.0524511,360,0.124791228
370,3.87051234,370,4.15454611,370,3.6692313,370,0.108162418
380,3.50275248,380,4.03271979,380,3.38891431,380,0.095847044
390,3.13750117,390,3.92912363,390,3.18339817,390,0.0865201051
400,2.77928995,400,3.83939545,400,3.0328615,400,0.0793406014
410,2.42919666,410,3.76043331,410,2.92339178,410,0.0737528505
420,2.08677491,420,3.68997173,420,2.84515073,420,0.0693771393
430,1.75096818,430,3.62631796,430,2.79109267,430,0.0659464996
440,1.42053822,440,3.568182,440,2.75609792,440,0.0632685909
450,1.09425977,450,3.51456379,450,2.73639058,450,0.0612018816
460,0.771002487,460,3.46467621,460,2.7291454,460,0.0596402943
470,0.449758819,470,3.4178914,470,2.73221949,470,0.0585030334
480,0.129646658,480,3.3737025,480,2.74396684,480,0.0577276821
490,-0.190099103,490,3.33169597,490,2.76310831,490,0.0572654155
500,-0.510139099,500,3.29153105,500,2.78863931,500,0.0570776178
510,-0.831042838,510,3.25292454,510,2.81976317,510,0.0571334488
520,-1.15330132,520,3.21563917,520,2.85584263,520,0.0574080666
530,-1.47733838,530,3.17947469,530,2.89636397,530,0.0578813106
540,-1.8035205,540,3.14426094,540,2.9409101,540,0.0585367115
550,-2.13216532,550,3.10985248,550,2.98914038,550,0.059360741
560,-2.46354875,560,3.07612423,560,3.04077507,560,0.0603422333
570,-2.79791108,570,3.04296811,570,3.09558341,570,0.0614719375
580,-3.13546203,580,3.01029022,580,3.15337434,580,0.0627421665
590,-3.47638513,590,2.97800865,590,3.21398915,590,0.064146519
600,-3.82084128,600,2.94605161,600,3.27729576,600,0.0656796587
610,-4.16897187,610,2.91435595,610,3.34318408,610,0.0673371361
620,-4.52090138,620,2.88286591,620,3.41156234,620,0.0691152455
630,-4.87673954,630,2.85153209,630,3.48235406,630,0.0710109075
640,-5.23658327,640,2.82031056,640,3.55549564,640,0.0730215732
650,-5.60051825,650,2.78916216,650,3.63093437,650,0.0751451451
660,-5.9686203,660,2.75805187,660,3.70862676,660,0.0773799118
670,-6.34095655,670,2.7269483,670,3.7885372,670,0.0797244932
680,-6.71758648,680,2.6958232,680,3.87063684,680,0.082177795
690,-7.09856279,690,2.66465116,690,3.9549026,690,0.0847389696
700,-7.48393214,700,2.63340918,700,4.04131644,700,0.0874073844
710,-7.87373584,710,2.60207649,710,4.12986461,710,0.0901825935
720,-8.26801038,720,2.57063421,720,4.22053714,720,0.0930643146
730,-8.66678799,730,2.53906523,730,4.31332733,730,0.0960524083
740,-9.07009706,740,2.50735394,740,4.40823134,740,0.0991468616
750,-9.47796248,750,2.47548612,750,4.50524783,750,0.102347772
760,-9.89040607,760,2.44344879,760,4.60437767,760,0.105655336
770,-10.3074468,770,2.41123007,770,4.70562366,770,0.109069835
780,-10.729101,780,2.37881908,780,4.80899028,780,0.112591629
790,-11.1553829,790,2.34620585,790,4.91448356,790,0.116221148
800,-11.5863045,800,2.3133812,800,5.02211082,800,0.11995888
810,-12.0218757,810,2.28033673,810,5.1318806,810,0.12380537
820,-12.4621049,820,2.24706468,820,5.24380245,820,0.127761209
830,-12.9069987,830,2.21355792,830,5.35788688,830,0.131827036
840,-13.3565625,840,2.17980985,840,5.4741452,840,0.136003526
850,-13.8107999,850,2.14581442,850,5.59258948,850,0.140291389
860,-14.2697137,860,2.111566,860,5.71323243,860,0.144691369
870,-14.7333052,870,2.07705941,870,5.83608734,870,0.149204236
880,-15.2015748,880,2.04228987,880,5.96116804,880,0.153830788
890,-15.6745219,890,2.00725293,890,6.0884888,890,0.158571844
900,-16.152145,900,1.9719445,900,6.2180643,900,0.163428245
910,-16.6344416,910,1.93636076,910,6.34990961,910,0.16840085
920,-17.1214086,920,1.90049821,920,6.48404009,920,0.173490536
930,-17.6130421,930,1.86435357,930,6.62047142,930,0.178698195
940,-18.1093373,940,1.82792383,940,6.75921952,940,0.184024732
950,-18.6102891,950,1.79120618,950,6.90030052,950,0.189471066
960,-19.1158914,960,1.75419803,960,7.04373078,960,0.195038125
970,-19.626138,970,1.71689698,970,7.18952679,970,0.200726849
980,-20.1410218,980,1.6793008,980,7.33770522,980,0.206538186
990,-20.6605352,990,1.64140743,990,7.48828287,990,0.212473092
1000,-21.1846703,1000,1.60321495,1000,7.64127663,1000,0.218532533
1010,-21.7134187,1010,1.56472162,1010,7.7967035,1010,0.224717477
1020,-22.2467715,1020,1.52592578,1020,7.95458055,1020,0.231028902
1030,-22.7847194,1030,1.48682595,1030,8.11492493,1030,0.237467788
1040,-23.3272528,1040,1.44742073,1040,8.27775383,1040,0.244035121
1050,-23.8743618,1050,1.40770884,1050,8.44308446,1050,0.250731892
1060,-24.4260358,1060,1.36768911,1060,8.6109341,1060,0.257559094
1070,-24.9822643,1070,1.32736045,1070,8.78132002,1070,0.264517722
1080,-25.5430362,1080,1.28672188,1080,8.9542595,1080,0.271608777
1090,-26.1083402,1090,1.24577249,1090,9.12976982,1090,0.27883326
1100,-26.6781648,1100,1.20451146,1100,9.30786827,1100,0.286192173
1110,-27.2524981,1110,1.16293804,1110,9.48857211,1110,0.293686522
1120,-27.8313279,1120,1.12105154,1120,9.67189858,1120,0.301317312
1130,-28.4146418,1130,1.07885137,1130,9.8578649,1130,0.30908555
1140,-29.0024274,1140,1.03633697,1140,10.0464882,1140,0.316992243
1150,-29.5946716,1150,0.993507851,1150,10.2377857,1150,0.325038399
1160,-30.1913615,1160,0.950363585,1160,10.4317745,1160,0.333225025
1170,-30.7924836,1170,0.906903791,1170,10.6284715,1170,0.34155313
1180,-31.3980246,1180,0.863128143,1180,10.8278939,1180,0.350023721
1190,-32.0079708,1190,0.81903636,1190,11.0300585,1190,0.358637805
