wavelength_nm,measured_rp_reflectance_fraction,measured_rs_reflectance_fraction
260.0,0.039415,0.242968
270.0,0.0371205,0.251813
280.0,0.0369009,0.258134
290.0,0.0421532,0.268721
300.0,0.0437279,0.278213
310.0,0.0396108,0.26758
320.0,0.0310284,0.246658
330.0,0.0525166,0.295135
340.0,0.0787512,0.349156
350.0,0.0776558,0.34134
360.0,0.0563605,0.281693
370.0,0.0292854,0.199164
380.0,0.0091204,0.127059
390.0,0.000542849,0.0974151
400.0,0.00296067,0.111236
410.0,0.0108076,0.149678
420.0,0.020179,0.190363
430.0,0.0287886,0.226526
440.0,0.0403766,0.267397
450.0,0.0602698,0.3232
460.0,0.090021,0.388289
470.0,0.126352,0.448903
480.0,0.165252,0.496624
490.0,0.199141,0.524665
500.0,0.226261,0.535996
510.0,0.244759,0.532799
520.0,0.255682,0.50885
530.0,0.259595,0.470477
540.0,0.258204,0.418806
550.0,0.25549,0.353276
560.0,0.252561,0.278235
570.0,0.250643,0.200405
580.0,0.252505,0.136062
590.0,0.259059,0.101473
600.0,0.270893,0.109155
610.0,0.287342,0.158526
620.0,0.308468,0.237019
630.0,0.332539,0.326563
640.0,0.357324,0.412299
650.0,0.383699,0.48812
660.0,0.409865,0.552322
670.0,0.433782,0.60274
680.0,0.452816,0.642836
690.0,0.476494,0.675999
700.0,0.494765,0.699263
710.0,0.508727,0.71979
720.0,0.522046,0.736335
730.0,0.529396,0.742077
740.0,0.541423,0.752434
750.0,0.544899,0.757203
760.0,0.551005,0.757118
770.0,0.553225,0.751926
780.0,0.553494,0.749374
790.0,0.555997,0.74645
800.0,0.551364,0.740082
810.0,0.547214,0.726413
820.0,0.541924,0.720027
830.0,0.531614,0.700246
840.0,0.520538,0.679345
850.0,0.515044,0.661398
860.0,0.504493,0.636657
870.0,0.492217,0.606878
880.0,0.481938,0.574005
890.0,0.473761,0.554261
900.0,0.462837,0.519644
910.0,0.451185,0.485833
920.0,0.446587,0.45296
930.0,0.429692,0.410513
940.0,0.419213,0.372051
950.0,0.40575,0.335578
960.0,0.40191,0.307612
970.0,0.388605,0.273204
980.0,0.379841,0.248539
990.0,0.366286,0.224337
1000.0,0.365138,0.212432
1010.0,0.35706,0.200777
1020.0,0.351395,0.195993
1030.0,0.343112,0.193933
1040.0,0.332926,0.196759
1050.0,0.327089,0.203614
1060.0,0.318575,0.21241
1070.0,0.308408,0.224151
1080.0,0.298079,0.239554
1090.0,0.288865,0.25451
1100.0,0.27686,0.270597
1110.0,0.265538,0.290814
1120.0,0.252576,0.306634
1130.0,0.239298,0.327086
1140.0,0.223141,0.344606
1150.0,0.206636,0.363907
1160.0,0.18989,0.380263
1170.0,0.172627,0.398227
1180.0,0.155724,0.415714
1190.0,0.138961,0.429888
1200.0,0.122193,0.442599
1210.0,0.108014,0.463395
1220.0,0.0957314,0.479335
1230.0,0.0848608,0.489666
1240.0,0.078362,0.502454
1250.0,0.0750035,0.521719
1260.0,0.0756748,0.539025
1270.0,0.0786638,0.54642
1280.0,0.0856193,0.559048
1290.0,0.0956929,0.571637
1300.0,0.109636,0.585831
1310.0,0.125574,0.599496
1320.0,0.142441,0.611984
1330.0,0.160726,0.617262
1340.0,0.179653,0.626886
1350.0,0.199674,0.639944
1360.0,0.221206,0.648377
1370.0,0.240173,0.657491
1380.0,0.257418,0.66476
1390.0,0.276239,0.670092
1400.0,0.296289,0.678507
1410.0,0.317731,0.702341
1420.0,0.338324,0.706978
1430.0,0.352699,0.708225
1440.0,0.360781,0.708858
1450.0,0.375465,0.713245
1460.0,0.386241,0.715829
1470.0,0.406324,0.725354
1480.0,0.412646,0.726104
1490.0,0.419843,0.729541
1500.0,0.436654,0.739247
1510.0,0.447112,0.743542
1520.0,0.455567,0.745742
1530.0,0.465406,0.746499
1540.0,0.477077,0.758963
1550.0,0.480677,0.755747
1560.0,0.485253,0.757919
1570.0,0.495889,0.763866
1580.0,0.504715,0.770057
1590.0,0.512068,0.767177
1600.0,0.518514,0.77472
1610.0,0.523149,0.778435
1620.0,0.527472,0.777684
1630.0,0.535987,0.783535
1640.0,0.543451,0.789691
1650.0,0.549626,0.793279
1660.0,0.552389,0.795833
1670.0,0.559849,0.801007
1680.0,0.561831,0.799718
1690.0,0.5642,0.797251
1700.0,0.574699,0.806099
1710.0,0.581026,0.81299
1720.0,0.581815,0.809155
1730.0,0.582071,0.803584
1740.0,0.592759,0.812597
1750.0,0.596707,0.817367
1760.0,0.600248,0.8202
1770.0,0.603393,0.82115
1780.0,0.609629,0.820163
1790.0,0.610355,0.820802
1800.0,0.613437,0.822157
1810.0,0.618086,0.823095
1820.0,0.619352,0.823069
1830.0,0.625203,0.824683
1840.0,0.63143,0.829811
1850.0,0.62878,0.827339
1860.0,0.629906,0.827414
1870.0,0.637517,0.832542
1880.0,0.638083,0.831618
1890.0,0.638839,0.826707
1900.0,0.648711,0.835795
1910.0,0.653257,0.841677
1920.0,0.652634,0.841155
1930.0,0.654288,0.840284
1940.0,0.658566,0.841231
1950.0,0.656597,0.833353
1960.0,0.647595,0.818636
1970.0,0.654971,0.82659
1980.0,0.648411,0.823468
1990.0,0.644178,0.832657
2000.0,0.661244,0.844539
