wavelength_nm,simulated_rp_reflectance_fraction,simulated_rs_reflectance_fraction
260.0,0.626828,0.819265
270.0,0.498744,0.748687
280.0,0.211693,0.527909
290.0,0.109579,0.406064
300.0,0.0511996,0.304599
310.0,0.125436,0.422877
320.0,0.0409908,0.255734
330.0,0.0162154,0.200082
340.0,0.0707809,0.332908
350.0,0.0909548,0.376016
360.0,0.0767779,0.345855
370.0,0.0583837,0.295529
380.0,0.0369586,0.226688
390.0,0.0143937,0.14706
400.0,0.00187336,0.0990484
410.0,0.000704476,0.0986437
420.0,0.00633632,0.129561
430.0,0.0173308,0.180468
440.0,0.0357501,0.249383
450.0,0.0629411,0.329151
460.0,0.0972131,0.406346
470.0,0.134658,0.470015
480.0,0.171032,0.51562
490.0,0.203003,0.543043
500.0,0.228555,0.553706
510.0,0.246904,0.548917
520.0,0.258248,0.529299
530.0,0.263505,0.494808
540.0,0.264099,0.445171
550.0,0.261785,0.380817
560.0,0.258492,0.304571
570.0,0.256144,0.22399
580.0,0.256449,0.153035
590.0,0.260691,0.109882
600.0,0.26956,0.108786
610.0,0.283101,0.150906
620.0,0.300772,0.223647
630.0,0.321611,0.30926
640.0,0.344451,0.393509
650.0,0.368111,0.468566
660.0,0.391544,0.531716
670.0,0.413907,0.583102
680.0,0.434584,0.624065
690.0,0.453168,0.656232
700.0,0.469428,0.681126
710.0,0.483263,0.700024
720.0,0.49467,0.713947
730.0,0.503708,0.723683
740.0,0.510482,0.729832
750.0,0.51512,0.732843
760.0,0.517764,0.733043
770.0,0.518563,0.730665
780.0,0.517672,0.725869
790.0,0.515244,0.718758
800.0,0.511433,0.709388
810.0,0.506396,0.697785
820.0,0.500286,0.683949
830.0,0.493259,0.667867
840.0,0.485471,0.649525
850.0,0.477077,0.628915
860.0,0.468228,0.606048
870.0,0.459075,0.580974
880.0,0.449761,0.553789
890.0,0.440424,0.524658
900.0,0.431189,0.493827
910.0,0.42217,0.461642
920.0,0.413465,0.428555
930.0,0.405155,0.395129
940.0,0.3973,0.362032
950.0,0.38994,0.330014
960.0,0.383093,0.299877
970.0,0.376755,0.272427
980.0,0.370898,0.24842
990.0,0.365475,0.228504
1000.0,0.360417,0.213174
1010.0,0.355635,0.202728
1020.0,0.351023,0.197258
1030.0,0.346459,0.196648
1040.0,0.341804,0.200604
1050.0,0.336909,0.208685
1060.0,0.331611,0.220357
1070.0,0.325738,0.235032
1080.0,0.319111,0.252111
1090.0,0.311547,0.27102
1100.0,0.302866,0.29123
1110.0,0.292894,0.312275
1120.0,0.281473,0.333754
1130.0,0.268476,0.355337
1140.0,0.25382,0.376755
1150.0,0.237487,0.397801
1160.0,0.21955,0.418316
1170.0,0.200198,0.438187
1180.0,0.17976,0.457335
1190.0,0.158725,0.47571
1200.0,0.137744,0.493287
1210.0,0.117614,0.510055
1220.0,0.0992355,0.52602
1230.0,0.0835367,0.541198
1240.0,0.0713816,0.55561
1250.0,0.0634711,0.569284
1260.0,0.0602594,0.58225
1270.0,0.0619038,0.594541
1280.0,0.0682607,0.606191
1290.0,0.0789237,0.617233
1300.0,0.093294,0.627701
1310.0,0.110663,0.637626
1320.0,0.130292,0.647041
1330.0,0.151474,0.655974
1340.0,0.173581,0.664455
1350.0,0.196079,0.672511
1360.0,0.218542,0.680166
1370.0,0.240643,0.687446
1380.0,0.262143,0.694373
1390.0,0.282879,0.700967
1400.0,0.302745,0.70725
1410.0,0.321685,0.713238
1420.0,0.339677,0.718951
1430.0,0.356721,0.724404
1440.0,0.37284,0.729611
1450.0,0.388067,0.734588
1460.0,0.40244,0.739348
1470.0,0.416006,0.743903
1480.0,0.42881,0.748264
1490.0,0.4409,0.752442
1500.0,0.45232,0.756447
1510.0,0.463117,0.76029
1520.0,0.47333,0.763978
1530.0,0.483001,0.767519
1540.0,0.492166,0.770922
1550.0,0.500861,0.774194
1560.0,0.509117,0.777342
1570.0,0.516964,0.780371
1580.0,0.52443,0.783288
1590.0,0.531541,0.786098
1600.0,0.53832,0.788807
1610.0,0.544789,0.79142
1620.0,0.550967,0.793941
1630.0,0.556874,0.796374
1640.0,0.562525,0.798724
1650.0,0.567938,0.800995
1660.0,0.573126,0.80319
1670.0,0.578104,0.805313
1680.0,0.582882,0.807366
1690.0,0.587473,0.809354
1700.0,0.591888,0.811278
1710.0,0.596136,0.813143
1720.0,0.600227,0.814949
1730.0,0.604169,0.8167
1740.0,0.607969,0.818398
1750.0,0.611636,0.820046
1760.0,0.615177,0.821644
1770.0,0.618597,0.823196
1780.0,0.621902,0.824703
1790.0,0.625099,0.826168
1800.0,0.628192,0.82759
1810.0,0.631187,0.828973
1820.0,0.634088,0.830318
1830.0,0.636899,0.831626
1840.0,0.639625,0.832899
1850.0,0.642268,0.834138
1860.0,0.644834,0.835344
1870.0,0.647325,0.836518
1880.0,0.649745,0.837662
1890.0,0.652095,0.838777
1900.0,0.654381,0.839863
1910.0,0.656603,0.840923
1920.0,0.658765,0.841955
1930.0,0.660868,0.842963
1940.0,0.662916,0.843946
1950.0,0.66491,0.844905
1960.0,0.666853,0.845841
1970.0,0.668746,0.846755
1980.0,0.670592,0.847648
1990.0,0.672391,0.84852
2000.0,0.674147,0.849372
