wavelength_nm,epsilon_real,epsilon_imag
300.0,7.14181405,0.806679442
310.0,6.07746997,0.471257295
320.0,5.44011141,0.316799636
330.0,5.01541207,0.232584135
340.0,4.71115218,0.181418047
350.0,4.48143697,0.147925488
360.0,4.3009349,0.124791228
370.0,4.15454611,0.108162418
380.0,4.03271979,0.095847044
390.0,3.92912363,0.0865201051
400.0,3.83939545,0.0793406014
410.0,3.76043331,0.0737528505
420.0,3.68997173,0.0693771393
430.0,3.62631796,0.0659464996
440.0,3.568182,0.0632685909
450.0,3.51456379,0.0612018816
460.0,3.46467621,0.0596402943
470.0,3.4178914,0.0585030334
480.0,3.3737025,0.0577276821
490.0,3.33169597,0.0572654155
500.0,3.29153105,0.0570776178
510.0,3.25292454,0.0571334488
520.0,3.21563917,0.0574080666
530.0,3.17947469,0.0578813106
540.0,3.14426094,0.0585367115
550.0,3.10985248,0.059360741
560.0,3.07612423,0.0603422333
570.0,3.04296811,0.0614719375
580.0,3.01029022,0.0627421665
590.0,2.97800865,0.064146519
600.0,2.94605161,0.0656796587
610.0,2.91435595,0.0673371361
620.0,2.88286591,0.0691152455
630.0,2.85153209,0.0710109075
640.0,2.82031056,0.0730215732
650.0,2.78916216,0.0751451451
660.0,2.75805187,0.0773799118
670.0,2.7269483,0.0797244932
680.0,2.6958232,0.082177795
690.0,2.66465116,0.0847389696
700.0,2.63340918,0.0874073844
710.0,2.60207649,0.0901825935
720.0,2.57063421,0.0930643146
730.0,2.53906523,0.0960524083
740.0,2.50735394,0.0991468616
750.0,2.47548612,0.102347772
760.0,2.44344879,0.105655336
770.0,2.41123007,0.109069835
780.0,2.37881908,0.112591629
790.0,2.34620585,0.116221148
800.0,2.3133812,0.11995888
810.0,2.28033673,0.12380537
820.0,2.24706468,0.127761209
830.0,2.21355792,0.131827036
840.0,2.17980985,0.136003526
850.0,2.14581442,0.140291389
860.0,2.111566,0.144691369
870.0,2.07705941,0.149204236
880.0,2.04228987,0.153830788
890.0,2.00725293,0.158571844
900.0,1.9719445,0.163428245
910.0,1.93636076,0.16840085
920.0,1.90049821,0.173490536
930.0,1.86435357,0.178698195
940.0,1.82792383,0.184024732
950.0,1.79120618,0.189471066
960.0,1.75419803,0.195038125
970.0,1.71689698,0.200726849
980.0,1.6793008,0.206538186
990.0,1.64140743,0.212473092
1000.0,1.60321495,0.218532533
1010.0,1.56472162,0.224717477
1020.0,1.52592578,0.231028902
1030.0,1.48682595,0.237467788
1040.0,1.44742073,0.244035121
1050.0,1.40770884,0.250731892
1060.0,1.36768911,0.257559094
1070.0,1.32736045,0.264517722
1080.0,1.28672188,0.271608777
1090.0,1.24577249,0.27883326
1100.0,1.20451146,0.286192173
1110.0,1.16293804,0.293686522
1120.0,1.12105154,0.301317312
1130.0,1.07885137,0.30908555
1140.0,1.03633697,0.316992243
1150.0,0.993507851,0.325038399
1160.0,0.950363585,0.333225025
1170.0,0.906903791,0.34155313
1180.0,0.863128143,0.350023721
1190.0,0.81903636,0.358637805
1200.0,0.77462821,0.367396387
1210.0,0.7299035,0.376300473
1220.0,0.684862081,0.385351067
1230.0,0.639503843,0.394549173
1240.0,0.593828711,0.403895792
1250.0,0.547836649,0.413391924
1260.0,0.50152765,0.423038568
1270.0,0.454901744,0.432836721
1280.0,0.407958987,0.442787378
1290.0,0.36069947,0.452891532
1300.0,0.313123305,0.463150174
1310.0,0.265230638,0.473564294
1320.0,0.217021635,0.484134878
1330.0,0.168496489,0.49486291
1340.0,0.119655417,0.505749373
1350.0,0.0704986564,0.516795246
1360.0,0.0210264687,0.528001507
1370.0,-0.0287608653,0.539369129
1380.0,-0.0788630446,0.550899084
1390.0,-0.129279749,0.562592341
