wavelength_nm,epsilon_real,epsilon_imag
300.0,1.41001482,8.78682001
310.0,3.21431404,8.39767405
320.0,4.33925105,7.35280986
330.0,4.77342914,6.22861084
340.0,4.7719138,5.29009067
350.0,4.54945049,4.57706517
360.0,4.22873944,4.0524511
370.0,3.87051234,3.6692313
380.0,3.50275248,3.38891431
390.0,3.13750117,3.18339817
400.0,2.77928995,3.0328615
410.0,2.42919666,2.92339178
420.0,2.08677491,2.84515073
430.0,1.75096818,2.79109267
440.0,1.42053822,2.75609792
450.0,1.09425977,2.73639058
460.0,0.771002487,2.7291454
470.0,0.449758819,2.73221949
480.0,0.129646658,2.74396684
490.0,-0.190099103,2.76310831
500.0,-0.510139099,2.78863931
510.0,-0.831042838,2.81976317
520.0,-1.15330132,2.85584263
530.0,-1.47733838,2.89636397
540.0,-1.8035205,2.9409101
550.0,-2.13216532,2.98914038
560.0,-2.46354875,3.04077507
570.0,-2.79791108,3.09558341
580.0,-3.13546203,3.15337434
590.0,-3.47638513,3.21398915
600.0,-3.82084128,3.27729576
610.0,-4.16897187,3.34318408
620.0,-4.52090138,3.41156234
630.0,-4.87673954,3.48235406
640.0,-5.23658327,3.55549564
650.0,-5.60051825,3.63093437
660.0,-5.9686203,3.70862676
670.0,-6.34095655,3.7885372
680.0,-6.71758648,3.87063684
690.0,-7.09856279,3.9549026
700.0,-7.48393214,4.04131644
710.0,-7.87373584,4.12986461
720.0,-8.26801038,4.22053714
730.0,-8.66678799,4.31332733
740.0,-9.07009706,4.40823134
750.0,-9.47796248,4.50524783
760.0,-9.89040607,4.60437767
770.0,-10.3074468,4.70562366
780.0,-10.729101,4.80899028
790.0,-11.1553829,4.91448356
800.0,-11.5863045,5.02211082
810.0,-12.0218757,5.1318806
820.0,-12.4621049,5.24380245
830.0,-12.9069987,5.35788688
840.0,-13.3565625,5.4741452
850.0,-13.8107999,5.59258948
860.0,-14.2697137,5.71323243
870.0,-14.7333052,5.83608734
880.0,-15.2015748,5.96116804
890.0,-15.6745219,6.0884888
900.0,-16.152145,6.2180643
910.0,-16.6344416,6.34990961
920.0,-17.1214086,6.48404009
930.0,-17.6130421,6.62047142
940.0,-18.1093373,6.75921952
950.0,-18.6102891,6.90030052
960.0,-19.1158914,7.04373078
970.0,-19.626138,7.18952679
980.0,-20.1410218,7.33770522
990.0,-20.6605352,7.48828287
1000.0,-21.1846703,7.64127663
1010.0,-21.7134187,7.7967035
1020.0,-22.2467715,7.95458055
1030.0,-22.7847194,8.11492493
1040.0,-23.3272528,8.27775383
1050.0,-23.8743618,8.44308446
1060.0,-24.4260358,8.6109341
1070.0,-24.9822643,8.78132002
1080.0,-25.5430362,8.9542595
1090.0,-26.1083402,9.12976982
1100.0,-26.6781648,9.30786827
1110.0,-27.2524981,9.48857211
1120.0,-27.8313279,9.67189858
1130.0,-28.4146418,9.8578649
1140.0,-29.0024274,10.0464882
1150.0,-29.5946716,10.2377857
1160.0,-30.1913615,10.4317745
1170.0,-30.7924836,10.6284715
1180.0,-31.3980246,10.8278939
1190.0,-32.0079708,11.0300585
1200.0,-32.6223081,11.2349822
1210.0,-33.2410227,11.4426817
1220.0,-33.8641001,11.653174
1230.0,-34.491526,11.8664755
1240.0,-35.1232857,12.082603
1250.0,-35.7593646,12.3015728
1260.0,-36.3997476,12.5234015
1270.0,-37.0444197,12.7481054
1280.0,-37.6933657,12.9757007
1290.0,-38.3465702,13.2062036
1300.0,-39.0040177,13.4396303
1310.0,-39.6656925,13.6759966
1320.0,-40.331579,13.9153186
1330.0,-41.0016611,14.1576119
1340.0,-41.6759228,14.4028924
1350.0,-42.354348,14.6511756
1360.0,-43.0369204,14.9024769
1370.0,-43.7236237,15.1568119
1380.0,-44.4144412,15.4141958
1390.0,-45.1093565,15.6746438
1400.0,-45.8083528,15.938171
1410.0,-46.5114132,16.2047924
1420.0,-47.2185209,16.4745228
1430.0,-47.9296589,16.747377
1440.0,-48.6448099,17.0233697
1450.0,-49.3639568,17.3025154
1460.0,-50.0870823,17.5848285
1470.0,-50.814169,17.8703234
1480.0,-51.5451994,18.1590142
1490.0,-52.280156,18.450915
1500.0,-53.019021,18.7460398
1510.0,-53.7617768,19.0444025
1520.0,-54.5084056,19.3460168
1530.0,-55.2588894,19.6508962
1540.0,-56.0132103,19.9590544
1550.0,-56.7713502,20.2705046
1560.0,-57.533291,20.5852602
1570.0,-58.2990146,20.9033343
1580.0,-59.0685027,21.2247399
1590.0,-59.841737,21.5494899
1600.0,-60.618699,21.877597
1610.0,-61.3993704,22.209074
