All Layer Optical Constants
Wavelength (nm)	e1, TIN 3 (Lorentz)	e2, TIN 3 (Lorentz)
245.874191	0.914097	2.642982
247.461349	0.941020	2.695889
249.048492	0.970224	2.747538
250.635620	1.001642	2.797757
252.222748	1.035189	2.846382
253.809891	1.070764	2.893252
255.397003	1.108253	2.938214
256.984100	1.147524	2.981128
258.571228	1.188435	3.021864
260.158295	1.230828	3.060306
261.745392	1.274540	3.096352
263.332458	1.319395	3.129916
264.919525	1.365211	3.160931
266.506592	1.411803	3.189343
268.093658	1.458982	3.215120
269.680695	1.506559	3.238244
271.267700	1.554345	3.258717
272.854736	1.602156	3.276556
274.441711	1.649811	3.291796
276.028748	1.697140	3.304486
277.615692	1.743975	3.314688
279.202698	1.790163	3.322479
280.789642	1.835557	3.327945
282.376587	1.880024	3.331182
283.963531	1.923444	3.332297
285.550446	1.965704	3.331401
287.137360	2.006710	3.328611
288.724243	2.046375	3.324047
290.311127	2.084628	3.317833
291.897980	2.121408	3.310094
293.484833	2.156667	3.300953
295.071686	2.190366	3.290535
296.658508	2.222478	3.278960
298.245300	2.252984	3.266347
299.832092	2.281877	3.252810
301.418854	2.309155	3.238462
303.005615	2.334825	3.223408
304.592346	2.358900	3.207749
306.179077	2.381400	3.191582
307.765778	2.402348	3.174998
309.352478	2.421774	3.158081
310.939148	2.439710	3.140913
312.525787	2.456193	3.123568
314.112396	2.471261	3.106114
315.699036	2.484954	3.088615
317.285583	2.497314	3.071130
318.872162	2.508386	3.053713
320.458740	2.518214	3.036413
322.045258	2.526843	3.019274
323.631775	2.534316	3.002337
325.218262	2.540680	2.985638
326.804749	2.545979	2.969209
328.391174	2.550256	2.953079
329.977600	2.553556	2.937274
331.564026	2.555920	2.921817
333.150391	2.557390	2.906726
334.736755	2.558006	2.892019
336.323059	2.557807	2.877711
337.909393	2.556833	2.863813
339.495667	2.555118	2.850336
341.081940	2.552699	2.837289
342.668152	2.549611	2.824678
344.254395	2.545885	2.812507
345.840576	2.541555	2.800782
347.426727	2.536649	2.789503
349.012878	2.531198	2.778673
350.598999	2.525229	2.768292
352.185089	2.518768	2.758359
353.771149	2.511842	2.748872
355.357147	2.504475	2.739830
356.943176	2.496690	2.731229
358.529144	2.488509	2.723065
360.115082	2.479953	2.715336
361.701019	2.471042	2.708036
363.286926	2.461796	2.701161
364.872772	2.452232	2.694706
366.458618	2.442369	2.688665
368.044403	2.432222	2.683033
369.630188	2.421807	2.677803
371.215942	2.411139	2.672970
372.801636	2.400232	2.668529
374.387329	2.389100	2.664471
375.972961	2.377755	2.660793
377.558624	2.366209	2.657486
379.144196	2.354474	2.654545
380.729767	2.342561	2.651964
382.315277	2.330480	2.649736
383.900787	2.318241	2.647855
385.486237	2.305854	2.646314
387.071655	2.293326	2.645108
388.657043	2.280666	2.644230
390.242432	2.267883	2.643674
391.827759	2.254984	2.643434
393.413025	2.241976	2.643505
394.998291	2.228866	2.643880
396.583527	2.215660	2.644554
398.168701	2.202364	2.645520
399.753845	2.188984	2.646774
401.338959	2.175527	2.648310
402.924042	2.161996	2.650123
404.509094	2.148396	2.652207
406.094086	2.134734	2.654557
407.679077	2.121012	2.657168
409.264008	2.107235	2.660035
410.848877	2.093408	2.663154
412.433746	2.079533	2.666519
414.018555	2.065615	2.670126
415.603363	2.051657	2.673971
417.188080	2.037663	2.678048
418.772797	2.023634	2.682354
420.357483	2.009575	2.686885
421.942078	1.995488	2.691635
423.526672	1.981376	2.696602
425.111176	1.967242	2.701781
426.695709	1.953086	2.707168
428.280121	1.938913	2.712760
429.864563	1.924723	2.718553
431.448914	1.910520	2.724543
433.033264	1.896305	2.730726
434.617584	1.882079	2.737101
436.201813	1.867845	2.743662
437.786041	1.853604	2.750407
439.370178	1.839359	2.757332
440.954285	1.825109	2.764435
442.538391	1.810858	2.771713
444.122406	1.796605	2.779161
445.706390	1.782354	2.786778
447.290344	1.768103	2.794561
448.874207	1.753856	2.802507
450.458069	1.739613	2.810613
452.041840	1.725375	2.818877
453.625641	1.711142	2.827296
455.209320	1.696917	2.835868
456.793030	1.682700	2.844589
458.376617	1.668492	2.853458
459.960205	1.654293	2.862473
461.543701	1.640104	2.871631
463.127197	1.625927	2.880929
464.710602	1.611762	2.890367
466.294006	1.597609	2.899941
467.877289	1.583469	2.909649
469.460602	1.569343	2.919490
471.043793	1.555232	2.929461
472.627014	1.541135	2.939561
474.210114	1.527054	2.949788
475.793213	1.512989	2.960139
477.376221	1.498941	2.970613
478.959229	1.484909	2.981209
480.542145	1.470895	2.991924
482.125000	1.456898	3.002757
483.707855	1.442919	3.013706
485.290619	1.428960	3.024770
486.873352	1.415019	3.035946
488.455994	1.401097	3.047234
490.038635	1.387195	3.058632
491.621185	1.373313	3.070138
493.203674	1.359451	3.081751
494.786133	1.345609	3.093469
496.368500	1.331789	3.105292
497.950867	1.317988	3.117218
499.533142	1.304210	3.129244
501.115387	1.290453	3.141371
502.697571	1.276717	3.153597
504.279694	1.263003	3.165920
505.861725	1.249312	3.178339
507.443756	1.235643	3.190854
509.025696	1.221996	3.203462
510.607605	1.208371	3.216164
512.189453	1.194770	3.228957
513.771179	1.181192	3.241840
515.352905	1.167636	3.254813
516.934570	1.154104	3.267874
518.516235	1.140595	3.281023
520.097778	1.127110	3.294258
521.679260	1.113648	3.307578
523.260620	1.100210	3.320982
524.841980	1.086796	3.334469
526.423340	1.073406	3.348040
