wavelength_nm,reflectance
340.02,1.02851
340.4,1.02851
340.78,1.02851
341.16,0.99758
341.54,1.0201
341.93,1.03704
342.31,0.89549
342.69,0.93267
343.07,0.93799
343.45,1.04948
343.83,1.03581
344.21,0.95135
344.59,0.98943
344.97,0.99733
345.35,1.06896
345.73,0.92805
346.11,1.09651
346.49,1.03023
346.87,1.07652
347.25,1.063
347.63,1.01319
348.01,1.02273
348.39,1.05898
348.77,1.03179
349.15,1.01716
349.53,0.97255
349.91,0.98448
350.29,1.00939
350.67,1.00943
351.05,0.90718
351.43,0.96296
351.81,0.91755
352.19,0.9408
352.57,0.95922
352.95,1.10322
353.33,1
353.71,0.91667
354.09,0.96443
354.47,0.93247
354.85,0.96202
355.23,0.99339
355.61,1.00655
355.99,1.00216
356.37,0.97736
356.75,1.01879
357.12,0.98501
357.5,0.99335
357.88,0.90373
358.26,1.0361
358.64,0.93504
359.02,0.95238
359.4,0.96881
359.78,1.09847
360.16,0.99787
360.54,0.90683
360.92,1.01474
361.29,0.98167
361.67,1.02754
362.05,0.97899
362.43,0.92341
362.81,1.03486
363.19,1.03829
363.57,1.04485
363.95,1.00658
364.32,1.00682
364.7,1.01577
365.08,1.01082
365.46,1.00212
365.84,0.98052
366.22,0.99585
366.6,1.00842
366.97,0.98468
367.35,0.97385
367.73,1.02184
368.11,0.97703
368.49,1.02962
368.86,0.92622
369.24,1
369.62,1.01721
370,1.06608
370.38,1.09761
370.76,0.96638
371.13,0.91286
371.51,0.98899
371.89,0.98347
372.27,1.0443
372.64,1.01519
373.02,0.98938
373.4,1
373.78,0.94904
374.16,0.91036
374.53,1.00211
374.91,1.02564
375.29,0.93291
375.67,0.9957
376.04,0.98085
376.42,0.9371
376.8,0.97052
377.18,0.98941
377.55,0.87716
377.93,1.0432
378.31,0.97644
378.68,0.92064
379.06,0.93227
379.44,0.95801
379.82,1.01066
380.19,0.93969
380.57,0.9605
380.95,0.91891
381.32,0.9938
381.7,0.9397
382.08,0.86561
382.46,0.93495
382.83,0.95401
383.21,0.96863
383.59,0.99368
383.96,0.99384
384.34,0.881
384.72,0.94292
385.09,0.95704
385.47,1.0082
385.85,0.97013
386.22,0.98409
386.6,0.9082
386.97,0.89924
387.35,0.87569
387.73,0.90927
388.1,0.97395
388.48,0.91555
388.86,0.90059
389.23,0.87751
389.61,0.87453
389.98,0.83302
390.36,0.89675
390.74,0.9572
391.11,0.94518
391.49,0.90545
391.87,0.86453
392.24,0.95047
392.62,0.90341
392.99,0.92993
393.37,0.89599
393.74,0.93922
394.12,0.88073
394.5,0.92433
394.87,0.87148
395.25,0.85715
395.62,0.88608
396,0.86034
396.37,0.89407
396.75,0.87523
397.12,0.81911
397.5,0.83393
397.88,0.81575
398.25,0.82986
398.63,0.88649
399,0.91115
399.38,0.90597
399.75,0.82333
400.13,0.86087
400.5,0.81667
400.88,0.85916
401.25,0.86573
401.63,0.85344
402,0.83871
402.38,0.82404
402.75,0.86655
403.13,0.87157
403.5,0.85857
403.88,0.83701
404.25,0.82735
404.63,0.88388
405,0.85259
405.37,0.8451
405.75,0.88066
406.12,0.80066
406.5,0.81209
406.87,0.81187
407.25,0.86655
407.62,0.80265
408,0.79067
408.37,0.80667
408.74,0.84823
409.12,0.86402
409.49,0.84032
