wavelength_nm,transmittance
340.35,0.96492
340.73,0.96492
341.12,0.96492
341.5,1.17859
341.88,0.9136
342.27,0.90002
342.65,0.99039
343.03,1.11306
343.41,0.88112
343.8,1.14783
344.18,0.92956
344.56,1.48961
344.95,0.93335
345.33,0.97917
345.71,0.85208
346.09,0.98149
346.48,1.01093
346.86,1.12138
347.24,0.98889
347.62,1.09314
348.01,1.00936
348.39,0.99099
348.77,1.10924
349.15,0.94893
349.54,1.07424
349.92,0.86923
350.3,1.0581
350.68,0.96297
351.07,0.87586
351.45,0.89388
351.83,0.87132
352.21,0.98099
352.59,0.84913
352.98,1.01532
353.36,0.9549
353.74,0.86735
354.12,0.83103
354.5,0.97809
354.89,1
355.27,0.93455
355.65,0.85145
356.03,0.98474
356.41,0.83612
356.79,0.87234
357.18,0.89817
357.56,0.89454
357.94,0.89415
358.32,0.94425
358.7,1
359.08,0.96655
359.46,0.92388
359.84,0.96071
360.23,0.9152
360.61,0.92087
360.99,0.90527
361.37,0.95256
361.75,0.83112
362.13,0.9077
362.51,0.8443
362.89,0.9194
363.27,0.9669
363.66,0.83689
364.04,0.89927
364.42,0.87806
364.8,0.80139
365.18,0.79787
365.56,0.97339
365.94,0.90613
366.32,0.91543
366.7,0.85763
367.08,1.03359
367.46,0.93436
367.84,1.056
368.22,1.0751
368.6,0.98062
368.98,0.94224
369.36,0.91095
369.74,0.79195
370.12,0.8486
370.5,1.00372
370.88,0.91154
371.26,0.8419
371.64,0.89474
372.02,0.76897
372.4,0.9304
372.78,0.82952
373.16,0.75403
373.54,0.79856
373.92,0.92727
374.3,0.86159
374.68,0.88851
375.06,0.81108
375.44,0.76588
375.82,0.92014
376.2,0.87119
376.58,0.88563
376.96,0.88889
377.34,0.75403
377.72,0.81507
378.1,0.80623
378.48,0.84879
378.86,0.9041
379.24,0.84321
379.62,0.875
379.99,0.7973
380.37,0.74843
380.75,0.78639
381.13,0.85958
381.51,0.75949
381.89,0.85809
382.27,0.80532
382.65,0.9534
383.03,0.79403
383.41,0.84193
383.78,0.76133
384.16,0.7754
384.54,0.72189
384.92,0.68644
385.3,0.72253
385.68,0.77329
386.06,0.78248
386.43,0.64865
386.81,0.68347
387.19,0.79567
387.57,0.78507
387.95,0.61403
388.33,0.76991
388.7,0.65547
389.08,0.66385
389.46,0.71224
389.84,0.69372
390.22,0.72442
390.59,0.66667
390.97,0.81286
391.35,0.68119
391.73,0.68044
392.11,0.66667
392.48,0.65183
392.86,0.64524
393.24,0.67106
393.62,0.59908
393.99,0.64499
394.37,0.66835
394.75,0.65963
395.13,0.64736
395.5,0.58883
395.88,0.66213
396.26,0.67915
396.64,0.65915
397.01,0.70985
397.39,0.59183
397.77,0.54343
398.15,0.59674
398.52,0.61873
398.9,0.60001
399.28,0.54129
399.65,0.66752
