Spectroscopic Data at 13.069 min.		
Wavelength (nm)	<e1>	<e2>
210	2.472009	5.642024
211	2.535218	5.658504
212	2.56277	5.659513
213	2.572446	5.621902
214	2.621825	5.628003
215	2.676666	5.645373
216	2.716321	5.624462
217	2.733184	5.584936
218	2.755946	5.578228
219	2.795477	5.583474
220	2.830254	5.577151
221	2.861567	5.550879
222	2.897844	5.534375
223	2.922758	5.526652
224	2.960639	5.520434
225	3.004754	5.514561
226	3.042236	5.49987
227	3.09067	5.486078
228	3.105335	5.477315
229	3.121409	5.464172
230	3.139584	5.453337
231	3.150414	5.437997
232	3.180578	5.432214
233	3.223172	5.419371
234	3.237775	5.38371
235	3.264155	5.372235
236	3.297016	5.363017
237	3.310917	5.358435
238	3.324328	5.340496
239	3.34395	5.316629
240	3.350295	5.30124
241	3.379124	5.280574
242	3.401366	5.2736
243	3.418073	5.258588
244	3.4319	5.241884
245	3.44302	5.219224
246	3.464877	5.20036
247	3.485506	5.185789
248	3.493914	5.166198
249	3.494903	5.155967
250	3.511856	5.138921
251	3.531671	5.121823
252	3.546449	5.105942
253	3.558722	5.097503
254	3.571476	5.076327
255	3.586629	5.054975
256	3.585086	5.0442
257	3.593616	5.02636
258	3.60515	5.008396
259	3.618108	4.996263
260	3.620193	4.984365
261	3.628259	4.966855
262	3.636701	4.953534
263	3.650761	4.942261
264	3.655081	4.923555
265	3.655075	4.905775
266	3.664503	4.890882
267	3.673501	4.872453
268	3.675425	4.858626
269	3.682043	4.847208
270	3.685493	4.834082
271	3.685973	4.815805
272	3.685753	4.796797
273	3.690226	4.786401
274	3.698757	4.769965
275	3.696525	4.754858
276	3.691725	4.739237
277	3.694589	4.731669
278	3.704548	4.714749
279	3.700564	4.693398
280	3.702295	4.679696
281	3.711998	4.673025
282	3.702404	4.663406
283	3.698984	4.6474
284	3.699614	4.635024
285	3.689559	4.616652
286	3.696487	4.607467
287	3.693646	4.601173
288	3.681492	4.580771
289	3.680388	4.570742
290	3.67888	4.563485
291	3.672142	4.546285
292	3.668744	4.538949
293	3.66226	4.533605
294	3.655179	4.520545
295	3.650798	4.509016
296	3.643423	4.49801
297	3.63655	4.489336
298	3.629218	4.481512
299	3.620138	4.470713
300	3.611559	4.464815
301	3.607307	4.454529
302	3.601862	4.446792
303	3.593936	4.445239
304	3.583309	4.440997
305	3.567973	4.431704
306	3.551294	4.420195
307	3.549592	4.414843
308	3.544886	4.411837
309	3.528219	4.403292
310	3.518607	4.399697
311	3.505223	4.397877
312	3.495599	4.395617
313	3.48897	4.397323
314	3.476417	4.393999
315	3.47629	4.390496
316	3.460294	4.386907
317	3.44023	4.382305
318	3.430415	4.382018
319	3.421023	4.384669
320	3.414962	4.390912
321	3.403596	4.394917
322	3.392153	4.392245
323	3.383809	4.394479
324	3.368716	4.39916
325	3.356607	4.401111
326	3.351395	4.402019
327	3.346337	4.407805
328	3.335616	4.409328
329	3.320966	4.412107
330	3.311964	4.415222
331	3.30423	4.419288
332	3.298669	4.431552
333	3.29513	4.433158
334	3.281368	4.431751
335	3.270561	4.43455
336	3.263829	4.446
337	3.254324	4.45089
338	3.249728	4.455374
339	3.245244	4.464951
340	3.237612	4.467521
341	3.231869	4.479632
342	3.230405	4.484109
343	3.221904	4.48292
344	3.214112	4.492436
345	3.215793	4.498066
346	3.221132	4.503369
347	3.213156	4.51015
348	3.197558	4.522384
349	3.201667	4.524602
350	3.192599	4.526958
351	3.184581	4.536141
352	3.187113	4.5466
353	3.188067	4.546742
354	3.187519	4.545857
355	3.178104	4.553829
356	3.172684	4.563511
357	3.172262	4.574218
358	3.173602	4.5751
359	3.176123	4.579448
360	3.173894	4.584797
361	3.167739	4.593146
362	3.161571	4.599116
363	3.157119	4.605137
364	3.160951	4.606136
365	3.164843	4.614412
366	3.160691	4.620555
367	3.157294	4.623474
368	3.159867	4.627421
369	3.157883	4.633081
370	3.159617	4.637397
371	3.154215	4.64494
372	3.15014	4.647541
373	3.162787	4.645535
374	3.164538	4.64936
375	3.155807	4.655632
376	3.150655	4.655408
377	3.149918	4.6555
378	3.152779	4.655474
379	3.162445	4.662066
380	3.161144	4.674036
381	3.152889	4.677105
382	3.156288	4.677801
383	3.157615	4.672778
384	3.154307	4.675023
385	3.156734	4.670741
386	3.157643	4.675809
387	3.156525	4.687149
388	3.153504	4.687573
389	3.14178	4.659105
390	3.139169	4.638555
391	3.157938	4.676107
392	3.165782	4.711895
393	3.156585	4.710096
394	3.153596	4.696002
395	3.16067	4.697618
396	3.156278	4.678861
397	3.159351	4.676612
398	3.151326	4.681146
399	3.141431	4.690919
400	3.147628	4.691083
401	3.142303	4.676394
402	3.136451	4.674012
403	3.141304	4.677363
404	3.146292	4.68007
405	3.147118	4.67312
406	3.140456	4.667835
407	3.130073	4.66821
408	3.123744	4.674388
409	3.129518	4.676726
410	3.13068	4.671752
411	3.126626	4.668328
412	3.125145	4.664155
413	3.116473	4.658995
414	3.117921	4.66272
415	3.106986	4.657012
416	3.102553	4.642534
417	3.102197	4.644396
418	3.101916	4.646283
419	3.095602	4.637633
420	3.08367	4.638189
421	3.088956	4.63236
422	3.083158	4.625371
423	3.062998	4.627015
424	3.062663	4.626341
425	3.06206	4.623309
426	3.049991	4.619309
427	3.028848	4.613887
428	3.025996	4.612016
429	3.031703	4.602774
430	3.028604	4.604014
431	3.026323	4.602385
432	3.009122	4.593281
433	3.014843	4.593674
434	3.004099	4.588428
435	2.985878	4.580954
436	2.973157	4.578461
437	2.961905	4.586822
438	2.956952	4.578619
439	2.953201	4.568595
440	2.941009	4.569415
441	2.932935	4.570305
442	2.920216	4.556664
443	2.912776	4.554681
444	2.909116	4.565212
445	2.902436	4.556317
446	2.882224	4.545745
447	2.86867	4.543068
448	2.85702	4.546995
449	2.849953	4.550126
450	2.839181	4.538948
451	2.826818	4.536763
452	2.816953	4.547652
453	2.807171	4.54236
454	2.801633	4.5347
455	2.780835	4.52912
456	2.768656	4.527778
457	2.757412	4.527427
458	2.735478	4.52782
459	2.722891	4.524539
460	2.71419	4.532122
461	2.697974	4.521845
462	2.693518	4.521961
463	2.676225	4.533208
464	2.667239	4.525983
465	2.64796	4.524314
466	2.62978	4.52179
467	2.625895	4.518231
468	2.611056	4.521487
469	2.588685	4.518817
470	2.579	4.533426
471	2.567521	4.53404
472	2.54439	4.527975
473	2.522912	4.524899
474	2.507233	4.526241
475	2.497313	4.543117
476	2.487961	4.539301
477	2.483365	4.536899
478	2.463545	4.536766
479	2.439674	4.540038
480	2.422098	4.540335
481	2.401236	4.534397
482	2.383394	4.535258
483	2.379324	4.54583
484	2.365617	4.543951
485	2.343699	4.553841
486	2.338866	4.563707
487	2.317387	4.556384
488	2.296093	4.559022
489	2.288955	4.567535
490	2.278862	4.572987
491	2.25755	4.568731
492	2.242987	4.566253
493	2.226647	4.579148
494	2.20903	4.582992
495	2.186951	4.588205
496	2.158481	4.588114
497	2.147007	4.588439
498	2.141997	4.601317
499	2.116405	4.610093
500	2.096619	4.604015
501	2.086732	4.619123
502	2.077159	4.621923
503	2.052575	4.624104
504	2.032394	4.6295
505	2.015385	4.632193
506	2.00314	4.648747
507	1.981361	4.64046
508	1.962766	4.648594
509	1.960554	4.659482
510	1.947053	4.656236
511	1.932072	4.66009
512	1.905699	4.668369
513	1.885661	4.676993
514	1.880445	4.684286
515	1.858472	4.690906
516	1.83645	4.698057
517	1.822323	4.702165
518	1.79284	4.715487
519	1.779482	4.722196
520	1.774046	4.724516
521	1.753285	4.725529
522	1.727467	4.739173
523	1.710307	4.751593
524	1.702848	4.759124
525	1.686488	4.765926
526	1.662295	4.774035
527	1.641794	4.776803
528	1.624924	4.776808
529	1.618105	4.791984
530	1.597605	4.80945
531	1.5767	4.809084
532	1.563475	4.816074
533	1.54575	4.826504
534	1.523082	4.837012
535	1.508283	4.842281
536	1.487211	4.843934
537	1.466951	4.859282
538	1.458848	4.875599
539	1.435313	4.87861
540	1.417905	4.891407
541	1.397763	4.899596
542	1.381609	4.900946
543	1.366014	4.917972
544	1.350242	4.926991
545	1.339664	4.940714
546	1.319798	4.948282
547	1.295818	4.942103
548	1.274695	4.961122
549	1.263716	4.97068
550	1.240877	4.972345
551	1.227687	4.982328
552	1.21232	4.997736
553	1.189698	5.012854
554	1.169053	5.017711
555	1.153433	5.029889
556	1.14123	5.040202
557	1.120383	5.04814
558	1.096814	5.055484
559	1.080303	5.077431
560	1.068387	5.086864
561	1.053651	5.091738
562	1.031178	5.087651
563	1.01386	5.107501
564	0.994863	5.125655
565	0.972613	5.130422
566	0.955068	5.151054
567	0.944106	5.160213
568	0.940889	5.171369
569	0.912545	5.177448
570	0.885636	5.190478
571	0.868275	5.203707
572	0.850649	5.209376
573	0.841217	5.228009
574	0.817655	5.238309
575	0.795166	5.249389
576	0.774104	5.267619
577	0.766026	5.272564
578	0.752815	5.281886
579	0.727002	5.305971
580	0.709975	5.315286
581	0.692324	5.312335
582	0.682265	5.33403
583	0.659588	5.344349
584	0.642525	5.358004
585	0.61719	5.37771
586	0.592093	5.384502
587	0.585583	5.389427
588	0.568946	5.402009
589	0.551051	5.426445
590	0.528936	5.443886
591	0.506231	5.458132
592	0.492377	5.45042
593	0.475693	5.470798
594	0.459339	5.482283
595	0.445924	5.492709
596	0.431492	5.510482
597	0.39894	5.524353
598	0.391691	5.534607
599	0.374682	5.546001
600	0.338717	5.564223
601	0.329918	5.577924
602	0.318148	5.586781
603	0.292591	5.593479
604	0.269926	5.615397
605	0.25233	5.641067
606	0.230849	5.638735
607	0.206424	5.654314
608	0.196872	5.675195
609	0.184347	5.696928
610	0.16692	5.71635
611	0.147319	5.719408
612	0.125265	5.735963
613	0.102351	5.751158
614	0.090697	5.758342
615	0.074573	5.769372
616	0.054883	5.787652
617	0.030498	5.805747
618	0.02271	5.827762
619	0.010974	5.840421
620	-0.018686	5.869096
621	-0.039366	5.880815
622	-0.048679	5.880912
623	-0.080153	5.903936
624	-0.101364	5.918477
625	-0.119372	5.929641
626	-0.134748	5.94586
627	-0.146919	5.964366
628	-0.165763	5.981701
629	-0.185408	5.992316
630	-0.191069	6.009137
631	-0.215925	6.027351
632	-0.242508	6.031354
633	-0.260903	6.049297
634	-0.273801	6.07637
635	-0.295192	6.087663
636	-0.316392	6.100993
637	-0.336064	6.117905
638	-0.348133	6.146037
639	-0.367544	6.155807
640	-0.387983	6.160451
641	-0.400079	6.19596
642	-0.411313	6.20892
643	-0.432187	6.223948
644	-0.459444	6.252961
645	-0.480325	6.275982
646	-0.498985	6.278533
647	-0.512023	6.274901
648	-0.535992	6.296952
649	-0.544367	6.322854
650	-0.5552	6.351485
651	-0.585517	6.353347
652	-0.604844	6.377378
653	-0.627154	6.400652
654	-0.640509	6.413865
655	-0.648208	6.424567
656	-0.67218	6.44439
657	-0.694991	6.478793
658	-0.705764	6.483333
659	-0.725644	6.496498
660	-0.747666	6.530664
661	-0.758842	6.544271
662	-0.775903	6.552143
663	-0.798968	6.577836
664	-0.815939	6.596268
665	-0.83256	6.607966
666	-0.841742	6.635974
667	-0.852243	6.663918
668	-0.883857	6.655358
669	-0.903083	6.668883
670	-0.926264	6.694288
671	-0.937003	6.720674
672	-0.952619	6.736917
673	-0.976262	6.749938
674	-0.991776	6.782164
675	-1.006117	6.803375
676	-1.0161	6.819634
677	-1.045676	6.840816
678	-1.062948	6.854255
679	-1.070531	6.8823
680	-1.079766	6.8921
681	-1.11647	6.909346
682	-1.137008	6.927901
683	-1.136449	6.95861
684	-1.159049	6.971303
685	-1.173916	6.996263
686	-1.179613	7.026107
687	-1.213443	7.041667
688	-1.235371	7.048356
689	-1.239411	7.072871
690	-1.254566	7.088327
691	-1.27897	7.119864
692	-1.300491	7.136545
693	-1.317531	7.134813
694	-1.331462	7.176685
695	-1.347776	7.187574
696	-1.367059	7.215268
697	-1.387246	7.238801
698	-1.389636	7.247333
699	-1.406557	7.267118
700	-1.432755	7.277992
701	-1.447461	7.311446
702	-1.456361	7.326671
703	-1.485359	7.350048
704	-1.500926	7.37426
705	-1.51362	7.381448
706	-1.529027	7.397515
707	-1.53461	7.437829
708	-1.557965	7.451883
709	-1.588363	7.459892
710	-1.596608	7.463032
711	-1.624022	7.502661
712	-1.643444	7.546542
713	-1.644843	7.562218
714	-1.671138	7.5787
715	-1.68979	7.612136
716	-1.698113	7.612648
717	-1.715648	7.636842
718	-1.741368	7.670179
719	-1.761763	7.685791
720	-1.771125	7.705692
721	-1.785915	7.738427
722	-1.807992	7.752459
723	-1.806266	7.784338
724	-1.832542	7.800991
725	-1.855058	7.81405
726	-1.872504	7.838062
727	-1.895257	7.839067
728	-1.905045	7.877063
729	-1.917428	7.903894
730	-1.922095	7.918161
731	-1.94203	7.941467
732	-1.968993	7.962451
733	-1.991931	8.001361
734	-1.994514	8.004627
735	-2.017098	8.018965
736	-2.03905	8.055856
737	-2.042929	8.088307
738	-2.061177	8.078627
739	-2.073698	8.095038
740	-2.108589	8.125405
741	-2.115906	8.170351
742	-2.124288	8.202838
743	-2.128455	8.205039
744	-2.169541	8.243037
745	-2.173455	8.242469
746	-2.184526	8.2786
747	-2.205039	8.315289
748	-2.22495	8.331416
749	-2.240482	8.36217
750	-2.252912	8.37092
751	-2.267775	8.401711
752	-2.278396	8.419554
753	-2.291261	8.437583
754	-2.318551	8.47589
755	-2.352626	8.484023
756	-2.35917	8.491228
757	-2.359318	8.522614
758	-2.384017	8.544937
759	-2.404898	8.578973
760	-2.414274	8.596145
761	-2.407808	8.659145
762	-2.435421	8.648283
763	-2.477215	8.671407
764	-2.489819	8.674448
765	-2.494221	8.716108
766	-2.514949	8.751759
767	-2.509382	8.771367
768	-2.536	8.805389
769	-2.573523	8.812757
770	-2.561268	8.842661
771	-2.582335	8.870965
772	-2.601568	8.90072
