Spectroscopic Data at 13.069 min.		
Wavelength (nm)	p-Intensity	s-Intensity
210	0.084143	0.513966
211	0.083087	0.510772
212	0.082505	0.509094
213	0.081741	0.508231
214	0.081117	0.507341
215	0.08066	0.506827
216	0.07956	0.504405
217	0.078562	0.502627
218	0.078182	0.50233
219	0.077457	0.499847
220	0.076676	0.497637
221	0.075782	0.496167
222	0.075107	0.495539
223	0.074675	0.494962
224	0.074202	0.494767
225	0.073642	0.494285
226	0.072998	0.493581
227	0.072369	0.493491
228	0.072157	0.493726
229	0.071826	0.493642
230	0.071349	0.492437
231	0.070904	0.491443
232	0.070393	0.490184
233	0.069617	0.488391
234	0.068923	0.487738
235	0.068341	0.486182
236	0.067713	0.484387
237	0.067299	0.482619
238	0.066781	0.481345
239	0.06612	0.479935
240	0.065719	0.478862
241	0.065108	0.47793
242	0.064807	0.477549
243	0.064381	0.476739
244	0.063859	0.475227
245	0.063382	0.474494
246	0.062837	0.473385
247	0.062322	0.47198
248	0.061908	0.471231
249	0.061632	0.470221
250	0.061138	0.468995
251	0.060611	0.467633
252	0.060166	0.466513
253	0.059849	0.465497
254	0.059348	0.464357
255	0.05888	0.463594
256	0.058645	0.462794
257	0.058218	0.461667
258	0.057826	0.46095
259	0.05751	0.460281
260	0.057213	0.459246
261	0.056788	0.45803
262	0.056473	0.457271
263	0.056158	0.45652
264	0.055857	0.456252
265	0.055504	0.45526
266	0.055119	0.454097
267	0.054763	0.453526
268	0.05446	0.452595
269	0.054168	0.451675
270	0.053901	0.451019
271	0.053649	0.450913
272	0.053308	0.450109
273	0.052999	0.448824
274	0.052669	0.448191
275	0.052409	0.447547
276	0.05212	0.446599
277	0.051906	0.445724
278	0.051542	0.444883
279	0.051169	0.443867
280	0.050893	0.443072
281	0.050674	0.442312
282	0.050537	0.441795
283	0.050285	0.441247
284	0.050035	0.440473
285	0.049747	0.439591
286	0.049498	0.438718
287	0.049352	0.438021
288	0.049084	0.43745
289	0.048869	0.436632
290	0.048688	0.435771
291	0.048434	0.435181
292	0.048249	0.434212
293	0.048108	0.433285
294	0.047867	0.432303
295	0.047642	0.431413
296	0.047482	0.43091
297	0.047329	0.430222
298	0.047178	0.429433
299	0.047037	0.428998
300	0.046933	0.42836
301	0.046755	0.427732
302	0.046606	0.427022
303	0.046564	0.426471
304	0.046526	0.426131
305	0.046454	0.425861
306	0.046331	0.425298
307	0.046203	0.424665
308	0.046131	0.42414
309	0.046072	0.423805
310	0.046022	0.423311
311	0.046012	0.422794
312	0.045979	0.422289
313	0.046037	0.4223
314	0.04604	0.422104
315	0.045947	0.421648
316	0.04597	0.421491
317	0.046019	0.42147
318	0.046042	0.421215
319	0.046112	0.421072
320	0.046205	0.420884
321	0.046289	0.420606
322	0.046292	0.420347
323	0.046338	0.420068
324	0.046492	0.420131
325	0.046593	0.420176
326	0.046591	0.419774
327	0.046702	0.419842
328	0.046776	0.419756
329	0.046908	0.419824
330	0.047012	0.419907
331	0.047094	0.41975
332	0.047289	0.419794
333	0.047355	0.420004
334	0.047448	0.420216
335	0.047592	0.420572
336	0.047774	0.420511
337	0.047863	0.420207
338	0.04799	0.420564
339	0.04821	0.421168
340	0.048301	0.421234
341	0.048532	0.421579
342	0.048592	0.421518
343	0.048651	0.421672
344	0.048849	0.42188
345	0.048948	0.422219
346	0.049038	0.422723
347	0.049216	0.423045
348	0.049492	0.423164
349	0.049493	0.423171
350	0.049646	0.423688
351	0.049863	0.424073
352	0.050027	0.424481
353	0.050058	0.424784
354	0.05005	0.424782
355	0.050257	0.425118
356	0.050489	0.425711
357	0.050692	0.426239
358	0.050715	0.426416
359	0.050753	0.426416
360	0.050873	0.426719
361	0.051085	0.427239
362	0.05131	0.428114
363	0.051541	0.429127
364	0.051588	0.42964
365	0.051697	0.429896
366	0.051873	0.430451
367	0.051959	0.430652
368	0.05203	0.430972
369	0.052198	0.431637
370	0.052323	0.432317
371	0.052465	0.432359
372	0.052576	0.432753
373	0.052489	0.433005
374	0.052503	0.432819
375	0.052726	0.433466
376	0.052827	0.434012
377	0.052885	0.434438
378	0.052936	0.435031
379	0.05301	0.435513
380	0.053154	0.435345
381	0.053223	0.435094
382	0.05324	0.435364
383	0.053239	0.435961
384	0.05334	0.436353
385	0.053286	0.436511
386	0.053373	0.436743
387	0.053535	0.436792
388	0.053471	0.436044
389	0.053361	0.437463
390	0.053606	0.441535
391	0.053966	0.441576
392	0.053857	0.437357
393	0.053682	0.435578
394	0.053643	0.436558
395	0.05372	0.437439
396	0.053548	0.437767
397	0.053553	0.43823
398	0.05373	0.43871
399	0.053959	0.438935
400	0.053929	0.43905
401	0.053799	0.439237
402	0.053861	0.439634
403	0.05388	0.439733
404	0.053853	0.439523
405	0.053763	0.439584
406	0.053786	0.439926
407	0.053877	0.439995
408	0.054075	0.440563
409	0.054072	0.440638
410	0.054044	0.441016
411	0.054001	0.440783
412	0.053947	0.4407
413	0.053961	0.440829
414	0.053957	0.44049
415	0.054023	0.440959
416	0.053934	0.44151
417	0.053938	0.441314
418	0.053927	0.441007
419	0.053878	0.441139
420	0.053975	0.441111
421	0.053799	0.440641
422	0.053728	0.440446
423	0.053954	0.440819
424	0.053988	0.441152
425	0.053977	0.441351
426	0.054029	0.441419
427	0.054102	0.441212
428	0.054098	0.441192
429	0.053939	0.441271
430	0.053909	0.440683
431	0.053912	0.440731
432	0.053942	0.440816
433	0.053911	0.440903
434	0.053945	0.441033
435	0.053938	0.440547
436	0.054005	0.440495
437	0.054237	0.440708
438	0.054171	0.440716
439	0.054084	0.440828
440	0.054169	0.440588
441	0.054254	0.440614
442	0.054173	0.440528
443	0.054219	0.440592
444	0.054377	0.440479
445	0.054276	0.440142
446	0.054338	0.44033
447	0.054393	0.440077
448	0.054584	0.440344
449	0.054728	0.440658
450	0.054621	0.440191
451	0.054646	0.439711
452	0.054846	0.439421
453	0.054887	0.439583
454	0.054871	0.439849
455	0.055032	0.440157
456	0.055102	0.439926
457	0.055152	0.439499
458	0.055387	0.439631
459	0.055448	0.439472
460	0.055663	0.439702
461	0.055714	0.439899
462	0.055748	0.439798
463	0.056016	0.43936
