Spectroscopic Data at 13.069 min.		
Wavelength (nm)	Psi	Delta
210	22.028999	130.085754
211	21.965309	130.449005
212	21.928232	130.582794
213	21.85289	130.476456
214	21.794374	130.737915
215	21.748707	131.071472
216	21.66069	131.183609
217	21.571375	131.113724
218	21.529827	131.201401
219	21.487179	131.419998
220	21.431561	131.571899
221	21.346182	131.633362
222	21.271696	131.759384
223	21.227133	131.860672
224	21.169645	132.036606
225	21.10601	132.248596
226	21.035332	132.396439
227	20.954157	132.609116
228	20.921476	132.658493
229	20.87928	132.701096
230	20.838945	132.763794
231	20.798676	132.771454
232	20.754393	132.919083
233	20.683998	133.11409
234	20.601902	133.079315
235	20.552113	133.191833
236	20.500046	133.350082
237	20.476894	133.415329
238	20.429083	133.435852
239	20.363537	133.47467
240	20.327665	133.463455
241	20.258757	133.568878
242	20.223053	133.679291
243	20.177504	133.732986
244	20.131521	133.765137
245	20.076509	133.763702
246	20.018412	133.839905
247	19.970034	133.922806
248	19.923374	133.916656
249	19.90217	133.892548
250	19.852333	133.947739
251	19.79977	134.021805
252	19.754345	134.068878
253	19.726189	134.122223
254	19.671949	134.142838
255	19.615101	134.179291
256	19.594574	134.138916
257	19.550589	134.143631
258	19.503599	134.168091
259	19.467299	134.218857
260	19.440973	134.199448
261	19.397776	134.203995
262	19.362858	134.223083
263	19.327366	134.285645
264	19.284678	134.263443
265	19.247461	134.214844
266	19.208185	134.237946
267	19.16176	134.2491
268	19.130899	134.224854
269	19.101154	134.23941
270	19.070374	134.227844
271	19.030977	134.182007
272	18.990438	134.129272
273	18.964396	134.132538
274	18.921951	134.148346
275	18.891117	134.092148
276	18.861179	134.016129
277	18.842363	134.016113
278	18.797316	134.041855
279	18.753824	133.956039
280	18.722298	133.931763
281	18.699724	133.984253
282	18.686296	133.888809
283	18.653677	133.82077
284	18.625698	133.791992
285	18.593037	133.668137
286	18.566837	133.694397
287	18.555086	133.65625
288	18.519329	133.509979
289	18.497667	133.474106
290	18.48255	133.44278
291	18.449257	133.344391
292	18.435461	133.298279
293	18.428768	133.234222
294	18.405027	133.143661
295	18.382433	133.077591
296	18.363543	132.989792
297	18.34955	132.912155
298	18.33791	132.833145
299	18.320946	132.731644
300	18.314861	132.64798
301	18.29484	132.58461
302	18.281744	132.519287
303	18.285204	132.452957
304	18.28491	132.357407
305	18.277252	132.209412
306	18.26582	132.043289
307	18.254911	132.013229
308	18.252274	131.966858
309	18.247965	131.808762
310	18.248692	131.721558
311	18.257292	131.610229
312	18.261337	131.527023
313	18.271816	131.480408
314	18.276394	131.370544
315	18.268301	131.35788
316	18.275835	131.219681
317	18.285349	131.045715
318	18.294744	130.967285
319	18.310688	130.902451
