Spectroscopic Data at 13.069 min.	
Wavelength (nm)	Intensity
210	0.299054
211	0.29693
212	0.2958
213	0.294986
214	0.294229
215	0.293744
216	0.291983
217	0.290595
218	0.290256
219	0.288652
220	0.287157
221	0.285974
222	0.285323
223	0.284818
224	0.284484
225	0.283963
226	0.28329
227	0.28293
228	0.282941
229	0.282734
230	0.281893
231	0.281173
232	0.280289
233	0.279004
234	0.278331
235	0.277261
236	0.27605
237	0.274959
238	0.274063
239	0.273027
240	0.272291
241	0.271519
242	0.271178
243	0.27056
244	0.269543
245	0.268938
246	0.268111
247	0.267151
248	0.266569
249	0.265927
250	0.265067
251	0.264122
252	0.26334
253	0.262673
254	0.261852
255	0.261237
256	0.26072
257	0.259943
258	0.259388
259	0.258895
260	0.258229
261	0.257409
262	0.256872
263	0.256339
264	0.256054
265	0.255382
266	0.254608
267	0.254144
268	0.253528
269	0.252922
270	0.25246
271	0.252281
272	0.251708
273	0.250912
274	0.25043
275	0.249978
276	0.249359
277	0.248815
278	0.248212
279	0.247518
280	0.246982
281	0.246493
282	0.246166
283	0.245766
284	0.245254
285	0.244669
286	0.244108
287	0.243687
288	0.243267
289	0.242751
290	0.242229
291	0.241808
292	0.24123
293	0.240696
294	0.240085
295	0.239528
296	0.239196
297	0.238776
298	0.238305
299	0.238017
300	0.237647
301	0.237244
302	0.236814
303	0.236517
304	0.236329
305	0.236158
306	0.235815
307	0.235434
308	0.235135
309	0.234938
310	0.234666
311	0.234403
312	0.234134
313	0.234168
314	0.234072
315	0.233798
316	0.23373
317	0.233745
318	0.233629
319	0.233592
320	0.233544
321	0.233448
322	0.23332
323	0.233203
324	0.233312
325	0.233385
326	0.233183
327	0.233272
328	0.233266
329	0.233366
330	0.233459
331	0.233422
332	0.233541
333	0.23368
334	0.233832
335	0.234082
336	0.234142
337	0.234035
338	0.234277
339	0.234689
340	0.234767
341	0.235056
342	0.235055
343	0.235162
344	0.235364
345	0.235584
346	0.235881
347	0.236131
348	0.236328
349	0.236332
350	0.236667
351	0.236968
352	0.237254
353	0.237421
354	0.237416
355	0.237688
356	0.2381
357	0.238466
358	0.238565
359	0.238584
360	0.238796
361	0.239162
362	0.239712
363	0.240334
364	0.240614
365	0.240797
366	0.241162
367	0.241306
368	0.241501
369	0.241918
370	0.24232
371	0.242412
372	0.242664
373	0.242747
374	0.242661
375	0.243096
376	0.24342
377	0.243662
378	0.243984
379	0.244262
380	0.24425
381	0.244159
382	0.244302
383	0.2446
384	0.244846
385	0.244899
386	0.245058
387	0.245164
388	0.244758
389	0.245412
390	0.247571
391	0.247771
392	0.245607
393	0.24463
394	0.245101
395	0.245579
396	0.245657
397	0.245891
398	0.24622
399	0.246447
400	0.246489
401	0.246518
402	0.246747
403	0.246807
404	0.246688
405	0.246674
406	0.246856
407	0.246936
408	0.247319
409	0.247355
410	0.24753
411	0.247392
412	0.247324
413	0.247395
414	0.247224
415	0.247491
416	0.247722
417	0.247626
418	0.247467
419	0.247509
420	0.247543
421	0.24722
422	0.247087
423	0.247387
424	0.24757
425	0.247664
426	0.247724
427	0.247657
428	0.247645
429	0.247605
430	0.247296
431	0.247321
432	0.247379
433	0.247407
434	0.247489
435	0.247243
436	0.24725
437	0.247472
438	0.247443
439	0.247456
440	0.247379
441	0.247434
442	0.247351
443	0.247406
444	0.247428
445	0.247209
446	0.247334
447	0.247235
448	0.247464
449	0.247693
450	0.247406
451	0.247178
452	0.247133
453	0.247235
454	0.24736
455	0.247595
456	0.247514
457	0.247326
458	0.247509
459	0.24746
460	0.247683
461	0.247806
462	0.247773
