Opt. Const. of SiO2 (Sellmeier) vs. nm		
Wavelength (nm)	e1	e2
371.340149	2.171769	0
372.927826	2.171126	0
374.515564	2.170491	0
376.103363	2.169865	0
377.691223	2.169248	0
379.279175	2.168639	0
380.867188	2.168039	0
382.455261	2.167446	0
384.043365	2.166862	0
385.631561	2.166285	0
387.219788	2.165716	0
388.808105	2.165154	0
390.396484	2.1646	0
391.984924	2.164053	0
393.573425	2.163513	0
395.161926	2.16298	0
396.750549	2.162453	0
398.339203	2.161934	0
399.927917	2.161421	0
401.516693	2.160914	0
403.10553	2.160414	0
404.694397	2.15992	0
406.283356	2.159433	0
407.872345	2.158951	0
409.461365	2.158475	0
411.050476	2.158005	0
412.639587	2.157541	0
414.228821	2.157082	0
415.818054	2.156629	0
417.407318	2.156181	0
418.996674	2.155739	0
420.58609	2.155302	0
422.175537	2.15487	0
423.764984	2.154443	0
425.354553	2.154021	0
426.944153	2.153604	0
428.533752	2.153192	0
430.123444	2.152784	0
431.713135	2.152381	0
433.302887	2.151983	0
434.89267	2.151589	0
436.482513	2.1512	0
438.072418	2.150815	0
439.662354	2.150435	0
441.252289	2.150058	0
442.842285	2.149686	0
444.432312	2.149318	0
446.0224	2.148954	0
447.612549	2.148594	0
449.202698	2.148238	0
450.792908	2.147885	0
452.383118	2.147537	0
453.973389	2.147192	0
455.56366	2.146851	0
457.154053	2.146513	0
458.744385	2.146179	0
460.334808	2.145849	0
461.925232	2.145522	0
463.515686	2.145198	0
465.106201	2.144878	0
466.696716	2.144561	0
468.287262	2.144247	0
469.877869	2.143936	0
471.468445	2.143629	0
473.059143	2.143325	0
474.649811	2.143023	0
476.240479	2.142725	0
477.831207	2.14243	0
479.421967	2.142138	0
481.012756	2.141848	0
482.603516	2.141562	0
484.194336	2.141278	0
485.785217	2.140997	0
487.376068	2.140718	0
488.966949	2.140443	0
490.557861	2.14017	0
492.148773	2.139899	0
493.739746	2.139632	0
495.330719	2.139366	0
496.921722	2.139104	0
498.512756	2.138844	0
500.10376	2.138586	0
501.694763	2.13833	0
503.285828	2.138077	0
504.876892	2.137826	0
506.468018	2.137578	0
508.059143	2.137331	0
509.650238	2.137088	0
511.241364	2.136846	0
512.83252	2.136606	0
514.423706	2.136369	0
516.014832	2.136133	0
517.606018	2.1359	0
519.197205	2.135669	0
520.788452	2.13544	0
522.379639	2.135213	0
523.970825	2.134988	0
525.562073	2.134764	0
527.153259	2.134543	0
528.744507	2.134324	0
530.335815	2.134106	0
531.927063	2.13389	0
533.51825	2.133677	0
535.109497	2.133465	0
536.700806	2.133254	0
538.292114	2.133046	0
539.883362	2.132839	0
541.474609	2.132634	0
543.065857	2.132431	0
544.657104	2.132229	0
546.248413	2.132029	0
547.839722	2.131831	0
