Spectroscopic Data at 7.448 min.		
Wavelength (nm)	s-Intensity	
210	0.562396	
211	0.561438	
212	0.560399	
213	0.559951	
214	0.559361	
215	0.558847	
216	0.558087	
217	0.556834	
218	0.556373	
219	0.555065	
220	0.554211	
221	0.553597	
222	0.553548	
223	0.55336	
224	0.553554	
225	0.553783	
226	0.553874	
227	0.553896	
228	0.554376	
229	0.554794	
230	0.554343	
231	0.554231	
232	0.553557	
233	0.551831	
234	0.550959	
235	0.550384	
236	0.549523	
237	0.548633	
238	0.548619	
239	0.548425	
240	0.548066	
241	0.548029	
242	0.547829	
243	0.547606	
244	0.547247	
245	0.547004	
246	0.546725	
247	0.54651	
248	0.546146	
249	0.545371	
250	0.544735	
251	0.544164	
252	0.54384	
253	0.543387	
254	0.542962	
255	0.542599	
256	0.542211	
257	0.541836	
258	0.541263	
259	0.540758	
260	0.540402	
261	0.540157	
262	0.539812	
263	0.539448	
264	0.539378	
265	0.539114	
266	0.538496	
267	0.538327	
268	0.537912	
269	0.537453	
270	0.536912	
271	0.536396	
272	0.53606	
273	0.535856	
274	0.535563	
275	0.535002	
276	0.534365	
277	0.533854	
278	0.533102	
279	0.532398	
280	0.53183	
281	0.531552	
282	0.53131	
283	0.530815	
284	0.530373	
285	0.529897	
286	0.529221	
287	0.528651	
288	0.528121	
289	0.527604	
290	0.527082	
291	0.526326	
292	0.525692	
293	0.525025	
294	0.524194	
295	0.52342	
296	0.52287	
297	0.522332	
298	0.521948	
299	0.521414	
300	0.520828	
301	0.520271	
302	0.519729	
303	0.519095	
304	0.518655	
305	0.518229	
306	0.517668	
307	0.517111	
308	0.516743	
309	0.516186	
310	0.515756	
311	0.515566	
312	0.514978	
313	0.514335	
314	0.513951	
315	0.513492	
316	0.512974	
317	0.512585	
318	0.512129	
319	0.511544	
320	0.511161	
321	0.510903	
322	0.51032	
323	0.509533	
324	0.509007	
325	0.508693	
326	0.508324	
327	0.507534	
328	0.50708	
329	0.50666	
330	0.506332	
331	0.505803	
332	0.505162	
333	0.504592	
334	0.504161	
335	0.503788	
336	0.503139	
337	0.502743	
338	0.502105	
339	0.501559	
340	0.501355	
341	0.501152	
342	0.500673	
343	0.50028	
344	0.499828	
345	0.499177	
346	0.498736	
347	0.498377	
348	0.497875	
349	0.497326	
350	0.496978	
351	0.496497	
352	0.495928	
353	0.495365	
354	0.494926	
355	0.494397	
356	0.493922	
357	0.493272	
358	0.49289	
359	0.492662	
360	0.492307	
361	0.491914	
