Spectroscopic Data at 9.162 min.	
Wavelength (nm)	s-Intensity
210	0.484775
211	0.485032
212	0.484602
213	0.484214
214	0.484342
215	0.484124
216	0.483778
217	0.48366
218	0.483243
219	0.4828
220	0.48242
221	0.482664
222	0.482545
223	0.482709
224	0.483317
225	0.483767
226	0.484539
227	0.485102
228	0.485654
229	0.48594
230	0.486167
231	0.485973
232	0.485568
233	0.485263
234	0.48444
235	0.483725
236	0.483042
237	0.481835
238	0.481339
239	0.481517
240	0.481245
241	0.481004
242	0.480811
243	0.48076
244	0.480686
245	0.480317
246	0.479884
247	0.479487
248	0.479052
249	0.478721
250	0.478387
251	0.47823
252	0.47785
253	0.477383
254	0.477246
255	0.476792
256	0.476413
257	0.476321
258	0.476371
259	0.476414
260	0.47624
261	0.476112
262	0.476034
263	0.475922
264	0.475715
265	0.475123
266	0.474666
267	0.474293
268	0.473811
269	0.4733
270	0.472956
271	0.472603
272	0.472135
273	0.471784
274	0.471508
275	0.470886
276	0.470078
277	0.46962
278	0.46878
279	0.467959
280	0.467523
281	0.467191
282	0.466749
283	0.466131
284	0.465544
285	0.465048
286	0.464452
287	0.463935
288	0.463254
289	0.462574
290	0.46202
291	0.461181
292	0.460182
293	0.459245
294	0.458588
295	0.457863
296	0.456828
297	0.456275
298	0.455777
299	0.455013
300	0.454213
301	0.453743
302	0.45336
303	0.452557
304	0.451808
305	0.45125
306	0.450684
307	0.450077
308	0.449269
309	0.448577
310	0.448109
311	0.447687
312	0.44693
313	0.446251
314	0.445722
315	0.44523
316	0.444686
317	0.443964
318	0.443191
319	0.442575
320	0.442191
321	0.441698
322	0.441142
323	0.440459
324	0.439937
325	0.439347
326	0.438772
327	0.438224
328	0.437648
329	0.437105
330	0.43666
331	0.436007
332	0.435492
333	0.434745
334	0.433846
335	0.433494
336	0.433209
337	0.432885
338	0.432275
339	0.431435
340	0.430747
341	0.43059
342	0.430173
343	0.429527
344	0.429072
345	0.428479
346	0.427894
347	0.427524
348	0.42703
349	0.426606
350	0.425705
351	0.424827
352	0.424438
353	0.424365
354	0.42396
355	0.423239
356	0.42237
357	0.42181
358	0.42155
359	0.421601
360	0.421541
361	0.420965
362	0.420339
363	0.41975
364	0.419444
365	0.419262
366	0.418822
367	0.418452
368	0.417778
369	0.417194
370	0.416624
371	0.416181
372	0.415691
373	0.415214
374	0.414757
375	0.414233
376	0.413654
377	0.412991
378	0.412623
379	0.412511
380	0.412036
381	0.411584
382	0.41123
383	0.410704
384	0.410224
385	0.40973
386	0.409098
387	0.408868
388	0.408971
389	0.406821
390	0.404817
391	0.404788
392	0.406027
393	0.407138
394	0.406858
395	0.405219
396	0.404865
397	0.403508
398	0.402476
399	0.402058
400	0.401516
401	0.401195
402	0.401116
403	0.40108
404	0.400313
405	0.399542
406	0.39915
407	0.398604
408	0.398386
409	0.39809
410	0.397816
411	0.397235
412	0.39648
413	0.396013
414	0.395184
415	0.394741
416	0.394138
417	0.394066
418	0.393984
419	0.393439
420	0.392918
421	0.392285
422	0.391352
423	0.390952
424	0.390432
425	0.390011
426	0.390034
427	0.38929
428	0.388968
429	0.388421
430	0.387436
431	0.386712
432	0.38651
433	0.385954
434	0.385872
435	0.385607
436	0.384778
437	0.384385
438	0.383652
439	0.383032
440	0.382792
441	0.38204
442	0.381462
443	0.381208
444	0.380604
445	0.380117
446	0.379587
447	0.379097
448	0.378631
449	0.378239
450	0.377902
451	0.3774
452	0.376931
453	0.37623
454	0.375636
455	0.375124
456	0.374543
457	0.374417
458	0.374395
459	0.373891
460	0.373043
461	0.372541
462	0.37186
463	0.370953
464	0.370607
465	0.370408
466	0.369749
467	0.369848
468	0.370331
469	0.36975
470	0.368758
471	0.367732
472	0.366578
473	0.365725
474	0.365108
475	0.364986
476	0.364561
477	0.364366
478	0.364395
479	0.364137
480	0.363667
481	0.363006
482	0.362172
483	0.361172
484	0.360391
485	0.359959
486	0.359899
487	0.359637
488	0.359777
489	0.359812
490	0.359119
491	0.358696
492	0.358163
493	0.357364
494	0.356478
495	0.355731
496	0.355247
497	0.354901
498	0.35448
499	0.354897
500	0.355235
501	0.355063
502	0.354494
503	0.354083
504	0.353528
505	0.352483
506	0.351914
507	0.351487
508	0.351054
509	0.350768
510	0.350672
511	0.350925
512	0.35115
513	0.351055
514	0.350358
515	0.350069
516	0.349791
517	0.348802
518	0.348257
519	0.348025
520	0.347691
521	0.347542
522	0.347399
523	0.34749
524	0.347766
525	0.347622
526	0.347342
527	0.347031
528	0.346987
529	0.346685
530	0.346571
531	0.345979
532	0.345625
533	0.345854
534	0.345589
535	0.345176
536	0.34543
537	0.345459
538	0.345165
539	0.34506
540	0.344875
541	0.344908
542	0.345321
543	0.345231
544	0.344898
545	0.344795
546	0.344922
547	0.34471
548	0.344555
549	0.344414
550	0.34445
551	0.344335
552	0.344077
553	0.343984
554	0.344181
555	0.344371
556	0.344628
557	0.344654
558	0.344542
559	0.344888
560	0.345426
561	0.34532
562	0.345063
563	0.344664
564	0.344443
565	0.344432
566	0.34467
567	0.344448
568	0.344379
569	0.344759
570	0.345441
571	0.346012
572	0.346159
573	0.346316
574	0.346825
575	0.347117
576	0.347446
577	0.34719
578	0.346985
579	0.346623
580	0.346446
581	0.346696
582	0.34637
583	0.345906
584	0.346332
585	0.347275
586	0.348024
587	0.348519
588	0.349156
589	0.349845
590	0.350127
591	0.350685
592	0.350911
593	0.350612
594	0.35021
595	0.349956
596	0.349746
597	0.34972
598	0.34973
599	0.349847
600	0.349892
601	0.350471
602	0.351499
603	0.352653
604	0.353475
605	0.353939
606	0.354408
607	0.354975
608	0.355638
609	0.35598
