Spectroscopic Data at 21.686 min.	
Wavelength (nm)	s-Intensity
210	0.525111
211	0.524151
212	0.523332
213	0.522703
214	0.521294
215	0.520794
216	0.520963
217	0.519759
218	0.517812
219	0.516542
220	0.515871
221	0.515316
222	0.515254
223	0.515192
224	0.514686
225	0.51486
226	0.515402
227	0.51572
228	0.516337
229	0.516367
230	0.516286
231	0.51614
232	0.515458
233	0.514604
234	0.51299
235	0.512166
236	0.511552
237	0.510991
238	0.510472
239	0.510211
240	0.510323
241	0.510492
242	0.510318
243	0.510333
244	0.510605
245	0.51036
246	0.510133
247	0.510256
248	0.509969
249	0.510073
250	0.509969
251	0.509502
252	0.509653
253	0.509731
254	0.509448
255	0.509432
256	0.509529
257	0.509716
258	0.510213
259	0.510476
260	0.510799
261	0.511205
262	0.511536
263	0.511799
264	0.511872
265	0.511925
266	0.511863
267	0.511975
268	0.511978
269	0.512052
270	0.512347
271	0.512394
272	0.512349
273	0.512322
274	0.51236
275	0.512375
276	0.512251
277	0.51201
278	0.511701
279	0.5119
280	0.512066
281	0.511818
282	0.511799
283	0.511797
284	0.511805
285	0.511868
286	0.511806
287	0.511777
288	0.511434
289	0.511283
290	0.51123
291	0.510912
292	0.510503
293	0.510333
294	0.5101
295	0.509556
296	0.509059
297	0.509254
298	0.509289
299	0.508698
300	0.508535
301	0.508521
302	0.5083
303	0.508194
304	0.508055
305	0.507892
306	0.507704
307	0.507371
308	0.507089
309	0.50704
310	0.507109
311	0.50685
312	0.506498
313	0.506308
314	0.506554
315	0.506521
316	0.505987
317	0.505785
318	0.505729
319	0.505635
320	0.505451
321	0.505196
322	0.505054
323	0.504888
324	0.504745
325	0.504391
326	0.504071
327	0.503988
328	0.503734
329	0.503508
330	0.503266
331	0.503013
332	0.502898
333	0.502666
334	0.502055
335	0.501698
336	0.501762
337	0.501851
338	0.501584
339	0.500999
340	0.500637
341	0.500608
342	0.500575
343	0.50034
344	0.499842
345	0.499388
346	0.499117
347	0.499285
348	0.499038
349	0.498432
350	0.497861
351	0.497472
352	0.497467
353	0.497376
354	0.497078
355	0.496405
356	0.49594
357	0.495605
358	0.495522
359	0.495422
360	0.495157
361	0.494771
362	0.494496
363	0.494041
364	0.494045
365	0.493859
366	0.493253
367	0.492866
368	0.492373
369	0.49221
370	0.491951
371	0.491163
372	0.490639
373	0.489928
374	0.489479
375	0.489293
376	0.489198
377	0.488729
378	0.488256
379	0.487552
380	0.486824
381	0.486561
382	0.486073
383	0.485433
384	0.484702
385	0.483908
386	0.483381
387	0.482948
388	0.48267
389	0.483306
390	0.483071
391	0.481038
392	0.47913
393	0.478544
394	0.478296
395	0.478444
396	0.478331
397	0.477235
398	0.476258
399	0.475322
400	0.474736
401	0.47441
402	0.474144
403	0.473953
404	0.473514
405	0.472675
406	0.471397
407	0.470604
408	0.470237
409	0.469905
410	0.469501
411	0.468975
412	0.468257
413	0.46719
414	0.466167
415	0.465331
416	0.464976
417	0.4648
418	0.464097
419	0.463353
420	0.462771
421	0.461948
422	0.461095
423	0.460417
424	0.459863
425	0.459246
426	0.45873
427	0.458042
428	0.457183
429	0.456419
430	0.455646
431	0.454995
432	0.454315
433	0.453623
434	0.452925
435	0.452382
436	0.451694
437	0.450715
438	0.450054
439	0.449256
440	0.448938
441	0.448128
442	0.447391
443	0.446833
444	0.446208
445	0.445406
446	0.444606
447	0.443876
448	0.443168
449	0.442602
450	0.442229
451	0.441622
452	0.441186
453	0.440207
454	0.439427
455	0.438518
456	0.437455
457	0.437052
458	0.436824
459	0.436704
460	0.436227
461	0.435557
462	0.434961
463	0.433755
464	0.432794
465	0.431878
466	0.431296
467	0.430995
468	0.430453
469	0.430268
470	0.430026
471	0.42965
472	0.428751
473	0.427876
474	0.427263
475	0.426483
476	0.426177
477	0.425576
478	0.425064
479	0.42483
480	0.424523
481	0.424009
482	0.423462
483	0.422677
484	0.422216
485	0.421154
486	0.420237
487	0.420006
488	0.419722
489	0.419341
490	0.418793
491	0.418578
492	0.418351
493	0.417727
494	0.416889
495	0.416493
496	0.415699
497	0.414786
498	0.414256
499	0.413942
500	0.413527
501	0.413235
502	0.412962
503	0.412628
504	0.411941
505	0.411317
506	0.410851
507	0.410172
508	0.409622
509	0.408914
510	0.408341
511	0.408098
512	0.407414
513	0.406953
514	0.406721
515	0.406386
516	0.40569
517	0.404788
518	0.404346
519	0.404157
520	0.403397
521	0.402858
522	0.402405
523	0.402237
524	0.401537
525	0.400734
526	0.400392
527	0.400032
528	0.399553
529	0.39896
530	0.398119
531	0.397605
532	0.397676
533	0.397111
534	0.396303
535	0.396087
536	0.396129
537	0.395509
538	0.394914
539	0.394278
540	0.393865
541	0.393428
542	0.392636
543	0.391896
544	0.391712
545	0.391499
546	0.391229
547	0.391077
548	0.390502
549	0.390383
550	0.390332
551	0.389823
552	0.389188
553	0.388681
554	0.388193
555	0.387826
556	0.387183
557	0.386438
558	0.386204
559	0.386599
560	0.386594
561	0.38621
562	0.386189
563	0.386068
564	0.385864
565	0.385588
566	0.385143
567	0.384562
568	0.384042
569	0.383761
570	0.383271
571	0.382643
572	0.382256
573	0.382372
574	0.382174
575	0.382278
576	0.382431
577	0.382368
578	0.382395
579	0.382536
580	0.382766
581	0.382462
582	0.381751
583	0.381186
584	0.381233
585	0.380894
586	0.380169
587	0.379535
588	0.379328
589	0.379721
590	0.380153
591	0.379969
592	0.379902
593	0.379628
594	0.380057
595	0.380308
596	0.380468
597	0.380364
598	0.379703
599	0.379359
600	0.379532
601	0.37952
602	0.378798
603	0.378217
604	0.37786
605	0.377777
606	0.378093
607	0.378325
608	0.378427
609	0.378105
610	0.377803
611	0.378166
612	0.378529
613	0.378987
614	0.378532
615	0.378227
616	0.378026
617	0.378094
618	0.37822
619	0.37802
620	0.377596
621	0.376978
622	0.376522
623	0.376765
624	0.377214
625	0.377104
626	0.376928
627	0.37651
628	0.376596
629	0.376985
630	0.37723
631	0.377322
632	0.377235
633	0.376601
634	0.376145
635	0.376596
636	0.376858
637	0.377143
638	0.376674
639	0.376172
640	0.375698
641	0.375413
642	0.375785
643	0.376321
644	0.376613
645	0.375977
646	0.375505
647	0.375163
648	0.375492
649	0.375761
650	0.376069
651	0.376242
652	0.375763
653	0.375041
654	0.374991
655	0.375317
656	0.375957
657	0.376451
658	0.376375
659	0.375782
660	0.375253
661	0.37503
662	0.375479
663	0.376175
664	0.376218
665	0.375991
666	0.375125
667	0.374503
668	0.374621
669	0.374986
670	0.37592
671	0.376075
672	0.376242
673	0.375887
674	0.375244
675	0.375414
676	0.375854
677	0.376725
678	0.377084
679	0.377087
680	0.376251
681	0.375437
682	0.375295
683	0.375953
684	0.376884
685	0.377385
686	0.377427
687	0.376673
688	0.375764
689	0.375908
690	0.375948
691	0.376503
692	0.377416
693	0.377952
694	0.377451
695	0.376754
696	0.376419
697	0.37646
698	0.376969
699	0.378105
700	0.379236
701	0.379396
702	0.379427
703	0.378707
704	0.377993
705	0.37795
706	0.378847
707	0.379955
708	0.380474
709	0.380741
710	0.380355
711	0.379376
712	0.378898
713	0.378818
714	0.379195
715	0.380401
716	0.381251
717	0.381442
718	0.380885
719	0.380367
720	0.379339
721	0.379521
722	0.380569
723	0.381678
724	0.383242
725	0.383756
726	0.383808
727	0.383171
728	0.382811
729	0.382741
730	0.383145
731	0.384145
732	0.385457
733	0.386115
734	0.385934
735	0.385469
736	0.384358
737	0.3839
738	0.384007
739	0.384519
740	0.38555
741	0.386577
742	0.386979
743	0.387003
744	0.386341
745	0.385329
746	0.38481
747	0.385374
748	0.386832
749	0.388375
750	0.389182
751	0.390077
752	0.39045
753	0.389773
754	0.389172
755	0.389008
756	0.389514
757	0.39044
758	0.392145
759	0.393128
760	0.393372
761	0.39322
762	0.392362
763	0.390945
764	0.390035
765	0.390754
766	0.392298
767	0.393138
768	0.394221
769	0.395296
770	0.395567
771	0.394519
772	0.393592
773	0.393413
774	0.393134
775	0.393331
776	0.394838
777	0.396919
778	0.398215
779	0.398471
780	0.39906
781	0.398938
782	0.398085
783	0.398167
784	0.398797
785	0.399503
786	0.400665
787	0.401584
788	0.402455
789	0.403522
790	0.403266
791	0.403209
792	0.402104
793	0.401596
794	0.401195
795	0.401146
796	0.402105
797	0.403885
798	0.404649
799	0.40481
800	0.405241
801	0.404486
802	0.403331
803	0.402339
804	0.402326
805	0.403748
806	0.404589
807	0.406097
808	0.407937
809	0.409694
810	0.409653
811	0.409254
812	0.409209
813	0.408996
814	0.408291
815	0.408405
816	0.409376
817	0.411306
818	0.412232
819	0.412403
820	0.412052
821	0.410842
822	0.409567
823	0.409189
824	0.409969
825	0.41069
826	0.411026
827	0.41059
828	0.411727
829	0.414232
830	0.416186
831	0.416409
832	0.41515
833	0.413593
834	0.412647
835	0.413076
836	0.413426
837	0.413464
838	0.414873
839	0.416551
840	0.417564
841	0.418458
842	0.420221
843	0.421691
844	0.422607
845	0.422039
846	0.42037
847	0.419886
848	0.421555
849	0.422346
850	0.42314
851	0.424051
852	0.426251
853	0.427507
854	0.428109
855	0.426679
856	0.425463
857	0.425018
858	0.424629
859	0.423875
860	0.423325
861	0.423515
862	0.42551
863	0.426734
864	0.427772
865	0.427998
866	0.427469
867	0.428193
868	0.42795
869	0.42642
870	0.424226
871	0.423979
