Spectroscopic Data at 9.344 min.		
Wavelength (nm)	s-Intensity	
210	0.427724	
211	0.428906	
212	0.428857	
213	0.428952	
214	0.429151	
215	0.429259	
216	0.429654	
217	0.42998	
218	0.429897	
219	0.429691	
220	0.429597	
221	0.430419	
222	0.43076	
223	0.431478	
224	0.432814	
225	0.433647	
226	0.434433	
227	0.435447	
228	0.43652	
229	0.437212	
230	0.438317	
231	0.438932	
232	0.438844	
233	0.438893	
234	0.438491	
235	0.43791	
236	0.437796	
237	0.437994	
238	0.438409	
239	0.439148	
240	0.440074	
241	0.440758	
242	0.441537	
243	0.442423	
244	0.443179	
245	0.443667	
246	0.443841	
247	0.444308	
248	0.444725	
249	0.445252	
250	0.445867	
251	0.446137	
252	0.446525	
253	0.447142	
254	0.447542	
255	0.447697	
256	0.447988	
257	0.448425	
258	0.449231	
259	0.450025	
260	0.450709	
261	0.451358	
262	0.451874	
263	0.452479	
264	0.452956	
265	0.453151	
266	0.45351	
267	0.453804	
268	0.454032	
269	0.454517	
270	0.454861	
271	0.454912	
272	0.454989	
273	0.455525	
274	0.455959	
275	0.456077	
276	0.455866	
277	0.455913	
278	0.455789	
279	0.455714	
280	0.456106	
281	0.456299	
282	0.456185	
283	0.456488	
284	0.456693	
285	0.456586	
286	0.456677	
287	0.4567	
288	0.456467	
289	0.456552	
290	0.456748	
291	0.456372	
292	0.456035	
293	0.455568	
294	0.455516	
295	0.455403	
296	0.45501	
297	0.454987	
298	0.454922	
299	0.454654	
300	0.454393	
301	0.454503	
302	0.45449	
303	0.454208	
304	0.453828	
305	0.453806	
306	0.453824	
307	0.453711	
308	0.453439	
309	0.45338	
310	0.453474	
311	0.453252	
312	0.453021	
313	0.452789	
314	0.452758	
315	0.452777	
316	0.452538	
317	0.452148	
318	0.451685	
319	0.451471	
320	0.451502	
321	0.451409	
322	0.451177	
323	0.450854	
324	0.450553	
325	0.450212	
326	0.450089	
327	0.449681	
328	0.449344	
329	0.449053	
330	0.44882	
331	0.448531	
332	0.448248	
333	0.447835	
334	0.447296	
335	0.44691	
336	0.446735	
337	0.446743	
338	0.446206	
339	0.445459	
340	0.445143	
341	0.445034	
342	0.444944	
343	0.444557	
344	0.444042	
345	0.443411	
346	0.443058	
347	0.442881	
348	0.442554	
349	0.44221	
350	0.441411	
351	0.440652	
352	0.440313	
353	0.440178	
354	0.439889	
355	0.439349	
356	0.438515	
357	0.437906	
358	0.437271	
359	0.436934	
360	0.436763	
361	0.436593	
362	0.435928	
363	0.435404	
364	0.43522	
365	0.435068	
366	0.434719	
367	0.434062	
368	0.433477	
369	0.432923	
370	0.432227	
371	0.431464	
372	0.430897	
373	0.43042	
374	0.429745	
375	0.429306	
376	0.428482	
377	0.427777	
378	0.427404	
379	0.42716	
380	0.426418	
381	0.425656	
382	0.425113	
383	0.424204	
384	0.423216	
385	0.422442	
386	0.421707	
387	0.421135	
388	0.42099	
389	0.420016	
390	0.418596	
391	0.418112	
392	0.41755	
393	0.416246	
394	0.415433	
395	0.415725	
396	0.414865	
397	0.413435	
398	0.412418	
399	0.411637	
400	0.410888	
401	0.410216	
402	0.409786	
403	0.409366	
404	0.408544	
405	0.407592	
406	0.40676	
407	0.405899	
408	0.405022	
409	0.404338	
410	0.403929	
411	0.402979	
412	0.402129	
413	0.401336	
414	0.400293	
415	0.399458	
416	0.398605	
417	0.397962	
418	0.397413	
419	0.396706	
420	0.395959	
421	0.394822	
422	0.393909	
423	0.393216	
424	0.392286	
425	0.391289	
426	0.390793	
427	0.389872	
428	0.389047	
429	0.388313	
430	0.387488	
431	0.386495	
432	0.385682	
433	0.384656	
434	0.383823	
435	0.383285	
436	0.382479	
437	0.381664	
438	0.380688	
439	0.37983	
440	0.379149	
441	0.37809	
442	0.377239	
443	0.376492	
444	0.375669	
445	0.374969	
446	0.374046	
447	0.373461	
448	0.372534	
449	0.371401	
450	0.370681	
451	0.369991	
452	0.36904	
453	0.368355	
454	0.367546	
455	0.366572	
456	0.365825	
457	0.365329	
458	0.364476	
459	0.363734	
460	0.362685	
461	0.361743	
462	0.360869	
463	0.359608	
464	0.358892	
465	0.3584	
466	0.357461	
467	0.356668	
468	0.356302	
469	0.355539	
470	0.354695	
471	0.353653	
472	0.352685	
473	0.351859	
474	0.351135	
475	0.350544	
476	0.349938	
477	0.349199	
478	0.348669	
