Spectroscopic Data at 4.061 min.	
Wavelength (nm)	Intensity
210	0.353578
211	0.351982
212	0.350552
213	0.349382
214	0.348668
215	0.348265
216	0.346769
217	0.34535
218	0.344901
219	0.343467
220	0.342466
221	0.341186
222	0.340726
223	0.340645
224	0.339688
225	0.339299
226	0.339442
227	0.339148
228	0.33887
229	0.338875
230	0.33832
231	0.337323
232	0.336287
233	0.335171
234	0.334562
235	0.333491
236	0.332101
237	0.330915
238	0.329821
239	0.328666
240	0.327856
241	0.327297
242	0.327196
243	0.32681
244	0.326001
245	0.325451
246	0.324663
247	0.323889
248	0.323193
249	0.322384
250	0.321586
251	0.320807
252	0.320206
253	0.319581
254	0.319017
255	0.318361
256	0.317661
257	0.317008
258	0.316598
259	0.316123
260	0.315539
261	0.315089
262	0.31467
263	0.314355
264	0.314168
265	0.313659
266	0.313054
267	0.312663
268	0.312163
269	0.311577
270	0.311047
271	0.310847
272	0.310392
273	0.309732
274	0.309364
275	0.308967
276	0.308295
277	0.307795
278	0.307341
279	0.306745
280	0.306284
281	0.305849
282	0.30531
283	0.305032
284	0.304679
285	0.304161
286	0.303607
287	0.303244
288	0.302877
289	0.30239
290	0.301951
291	0.301446
292	0.300864
293	0.300193
294	0.299626
295	0.299273
296	0.298987
297	0.298623
298	0.298021
299	0.297789
300	0.297573
301	0.297037
302	0.296514
303	0.296338
304	0.296177
305	0.295914
306	0.295424
307	0.295074
308	0.294879
309	0.294716
310	0.294495
311	0.294414
312	0.294162
313	0.294046
314	0.293904
315	0.293637
316	0.29361
317	0.293727
318	0.293434
319	0.293226
320	0.293266
321	0.293141
322	0.292889
323	0.292869
324	0.292995
325	0.292901
326	0.292723
327	0.292513
328	0.292404
329	0.29253
330	0.292643
331	0.292533
332	0.292461
333	0.292365
334	0.29248
335	0.292781
336	0.292774
337	0.292322
338	0.292205
339	0.292527
340	0.292783
341	0.29295
342	0.29282
343	0.292523
344	0.292489
345	0.292929
346	0.293123
347	0.293004
348	0.292771
349	0.292679
350	0.292894
351	0.29306
352	0.292941
353	0.292901
354	0.292773
355	0.292756
356	0.292986
357	0.293203
358	0.292992
359	0.292608
360	0.292583
361	0.292798
362	0.293385
363	0.293872
364	0.293908
365	0.293781
366	0.293893
367	0.293962
368	0.293925
369	0.294093
370	0.294139
371	0.294013
372	0.293937
373	0.293764
374	0.293723
375	0.29382
376	0.293928
377	0.294031
378	0.294205
379	0.294052
380	0.293609
381	0.293179
382	0.293095
383	0.292801
384	0.292671
385	0.292518
386	0.292235
387	0.291969
388	0.29143
389	0.293254
390	0.29604
391	0.294979
392	0.290496
393	0.288414
394	0.289073
395	0.290006
396	0.290086
397	0.29016
398	0.290366
399	0.29
400	0.289791
401	0.290005
402	0.289779
403	0.289404
404	0.288902
405	0.288755
406	0.288579
407	0.288416
408	0.288604
409	0.288553
410	0.288312
411	0.287673
412	0.287381
413	0.286995
414	0.286652
415	0.28671
416	0.28676
417	0.286674
418	0.286178
419	0.285592
420	0.285221
421	0.284639
422	0.28474
423	0.284746
424	0.284418
425	0.284455
426	0.284138
427	0.28357
428	0.283531
429	0.283131
430	0.282668
431	0.28282
432	0.282479
433	0.282302
434	0.282084
435	0.281703
436	0.281475
437	0.281317
438	0.280854
439	0.28074
440	0.280501
441	0.280231
442	0.280159
443	0.279956
444	0.279517
445	0.279463
446	0.279281
447	0.27894
448	0.279148
449	0.279069
450	0.278636
451	0.278165
452	0.277727
453	0.277487
454	0.277751
455	0.277727
456	0.277344
457	0.277305
458	0.277105
459	0.276565
460	0.276697
461	0.276957
462	0.276313
463	0.275701
464	0.276011
465	0.275798
466	0.2757
467	0.275835
468	0.275627
469	0.275121
470	0.275203
471	0.275282
472	0.27518
473	0.275206
474	0.275101
475	0.275048
476	0.275394
477	0.275985
478	0.276134
479	0.275667
480	0.275427
481	0.275391
482	0.274805
483	0.274602
484	0.275005
485	0.27522
486	0.275289
487	0.275745
488	0.27627
489	0.27636
490	0.276176
491	0.276098
492	0.276168
493	0.275662
494	0.275327
495	0.275869
496	0.276414
497	0.276613
498	0.27658
499	0.277022
500	0.277513
501	0.277316
502	0.277463
503	0.277828
504	0.277491
505	0.277311
506	0.277574
507	0.278024
508	0.278446
509	0.278645
510	0.279154
511	0.279797
512	0.280059
513	0.279816
514	0.279823
515	0.280274
516	0.280584
517	0.280272
518	0.280443
519	0.281113
520	0.281632
521	0.281921
522	0.281937
523	0.282726
524	0.283139
525	0.283157
526	0.283143
527	0.283478
528	0.284264
529	0.284328
530	0.284147
531	0.284526
532	0.285357
533	0.285964
534	0.285973
535	0.28632
536	0.287113
537	0.287568
538	0.287659
539	0.287749
540	0.288534
541	0.289182
542	0.289201
543	0.289244
544	0.289474
545	0.29065
546	0.291209
547	0.291293
548	0.291596
549	0.291975
550	0.292995
551	0.293317
552	0.293297
553	0.293597
554	0.294478
555	0.295119
556	0.295553
557	0.295622
558	0.296035
559	0.296824
560	0.297687
561	0.298182
562	0.29841
563	0.298879
564	0.29942
565	0.300281
566	0.300718
567	0.300934
568	0.301278
569	0.301985
570	0.302733
571	0.303228
572	0.303615
573	0.304252
574	0.305181
575	0.305978
576	0.306376
577	0.306522
578	0.306955
579	0.307749
580	0.308465
581	0.309041
582	0.309456
583	0.309816
584	0.310464
585	0.311246
586	0.311983
587	0.312623
588	0.313031
589	0.314076
590	0.315307
591	0.316183
592	0.316242
593	0.316655
594	0.317279
595	0.317889
596	0.318604
597	0.319091
598	0.319688
599	0.319972
600	0.320594
601	0.321783
602	0.322987
603	0.323487
604	0.323769
605	0.324323
606	0.325479
607	0.326853
608	0.32713
609	0.327936
610	0.328417
611	0.3285
612	0.329237
613	0.33015
614	0.330851
615	0.331574
616	0.332185
617	0.332378
618	0.333008
619	0.333932
620	0.334483
621	0.335341
622	0.336165
623	0.337322
624	0.338507
625	0.339478
626	0.340112
627	0.340494
628	0.340859
629	0.341131
630	0.341774
631	0.342663
