Opt. Const. of TiN (Lorentz) vs. nm
Wavelength (nm)	e1	e2
210.000000	0.663331	7.288589	
211.000000	0.751155	7.319958	
212.000000	0.838395	7.347938	
213.000000	0.924877	7.372618	
214.000000	1.010437	7.394095	
215.000000	1.094920	7.412480	
216.000000	1.178182	7.427889	
217.000000	1.260091	7.440446	
218.000000	1.340525	7.450281	
219.000000	1.419374	7.457530	
220.000000	1.496540	7.462332	
221.000000	1.571935	7.464830	
222.000000	1.645485	7.465170	
223.000000	1.717125	7.463497	
224.000000	1.786802	7.459957	
225.000000	1.854473	7.454697	
226.000000	1.920107	7.447860	
227.000000	1.983680	7.439590	
228.000000	2.045180	7.430027	
229.000000	2.104602	7.419309	
230.000000	2.161951	7.407567	
231.000000	2.217238	7.394933	
232.000000	2.270483	7.381530	
233.000000	2.321712	7.367479	
234.000000	2.370957	7.352896	
235.000000	2.418257	7.337891	
236.000000	2.463654	7.322567	
237.000000	2.507197	7.307026	
238.000000	2.548937	7.291360	
239.000000	2.588931	7.275657	
240.000000	2.627237	7.260000	
241.000000	2.663917	7.244465	
242.000000	2.699036	7.229125	
243.000000	2.732660	7.214043	
244.000000	2.764858	7.199282	
245.000000	2.795698	7.184894	
246.000000	2.825252	7.170930	
247.000000	2.853590	7.157434	
248.000000	2.880785	7.144446	
249.000000	2.906908	7.131999	
250.000000	2.932030	7.120123	
251.000000	2.956224	7.108843	
252.000000	2.979561	7.098179	
253.000000	3.002110	7.088147	
254.000000	3.023940	7.078760	
255.000000	3.045121	7.070024	
256.000000	3.065719	7.061943	
257.000000	3.085800	7.054517	
258.000000	3.105427	7.047742	
259.000000	3.124663	7.041613	
260.000000	3.143569	7.036117	
261.000000	3.162201	7.031241	
262.000000	3.180618	7.026969	
263.000000	3.198873	7.023282	
264.000000	3.217019	7.020156	
265.000000	3.235104	7.017568	
266.000000	3.253175	7.015490	
267.000000	3.271278	7.013892	
268.000000	3.289454	7.012743	
269.000000	3.307742	7.012012	
270.000000	3.326179	7.011660	
271.000000	3.344798	7.011653	
272.000000	3.363630	7.011952	
273.000000	3.382702	7.012519	
274.000000	3.402041	7.013312	
275.000000	3.421668	7.014291	
276.000000	3.441601	7.015414	
277.000000	3.461857	7.016638	
278.000000	3.482449	7.017921	
279.000000	3.503386	7.019220	
280.000000	3.524677	7.020491	
281.000000	3.546326	7.021693	
282.000000	3.568333	7.022782	
283.000000	3.590698	7.023717	
284.000000	3.613416	7.024457	
285.000000	3.636481	7.024960	
286.000000	3.659883	7.025188	
287.000000	3.683610	7.025103	
288.000000	3.707649	7.024667	
289.000000	3.731983	7.023845	
290.000000	3.756593	7.022603	
291.000000	3.781458	7.020908	
292.000000	3.806556	7.018730	
293.000000	3.831863	7.016039	
294.000000	3.857352	7.012809	
295.000000	3.882997	7.009016	
296.000000	3.908768	7.004635	
297.000000	3.934636	6.999647	
298.000000	3.960570	6.994034	
299.000000	3.986538	6.987778	
300.000000	4.012507	6.980865	
301.000000	4.038446	6.973285	
302.000000	4.064320	6.965027	
303.000000	4.090096	6.956084	
304.000000	4.115740	6.946451	
305.000000	4.141219	6.936124	
306.000000	4.166500	6.925103	
307.000000	4.191549	6.913388	
308.000000	4.216334	6.900983	
309.000000	4.240824	6.887893	
310.000000	4.264986	6.874125	
311.000000	4.288790	6.859686	
312.000000	4.312208	6.844588	
313.000000	4.335209	6.828842	
314.000000	4.357767	6.812461	
315.000000	4.379855	6.795460	
316.000000	4.401448	6.777855	
317.000000	4.422522	6.759664	
318.000000	4.443054	6.740904	
319.000000	4.463023	6.721594	
320.000000	4.482409	6.701755	
321.000000	4.501192	6.681407	
322.000000	4.519356	6.660572	
323.000000	4.536884	6.639272	
324.000000	4.553762	6.617528	
325.000000	4.569977	6.595366	
326.000000	4.585516	6.572806	
327.000000	4.600369	6.549874	
328.000000	4.614527	6.526592	
329.000000	4.627982	6.502984	
330.000000	4.640727	6.479073	
331.000000	4.652755	6.454883	
332.000000	4.664064	6.430437	
333.000000	4.674650	6.405758	
334.000000	4.684511	6.380870	
335.000000	4.693645	6.355794	
336.000000	4.702053	6.330553	
337.000000	4.709734	6.305168	
338.000000	4.716692	6.279661	
339.000000	4.722928	6.254053	
340.000000	4.728446	6.228364	
341.000000	4.733251	6.202613	
342.000000	4.737347	6.176820	
343.000000	4.740739	6.151004	
344.000000	4.743433	6.125183	
345.000000	4.745438	6.099374	
346.000000	4.746759	6.073594	
347.000000	4.747405	6.047859	
348.000000	4.747383	6.022185	
349.000000	4.746702	5.996587	
350.000000	4.745372	5.971080	
351.000000	4.743401	5.945677	
352.000000	4.740799	5.920392	
353.000000	4.737576	5.895236	
354.000000	4.733741	5.870223	
355.000000	4.729305	5.845364	
356.000000	4.724279	5.820669	
357.000000	4.718673	5.796148	
358.000000	4.712497	5.771812	
359.000000	4.705761	5.747670	
360.000000	4.698478	5.723730	
361.000000	4.690658	5.700000	
362.000000	4.682311	5.676489	
363.000000	4.673447	5.653203	
364.000000	4.664079	5.630149	
365.000000	4.654216	5.607333	
366.000000	4.643869	5.584761	
367.000000	4.633049	5.562439	
368.000000	4.621767	5.540372	
369.000000	4.610031	5.518563	
370.000000	4.597854	5.497018	
371.000000	4.585245	5.475740	
372.000000	4.572213	5.454733	
373.000000	4.558770	5.434000	
374.000000	4.544925	5.413543	
375.000000	4.530687	5.393366	
376.000000	4.516066	5.373470	
377.000000	4.501071	5.353858	
378.000000	4.485712	5.334531	
379.000000	4.469996	5.315491	
380.000000	4.453935	5.296739	
381.000000	4.437535	5.278276	
382.000000	4.420806	5.260103	
