wvl ( nm)	e1	e2
412,7424238	2,998467	1,453363
414,3335345	2,654819	1,72949
415,9248223	2,379808	1,985159
417,5160087	2,157143	2,221508
419,107234	1,976041	2,439597
420,6983593	1,828591	2,640468
422,2896751	1,708703	2,825114
423,8809031	1,611551	2,994491
425,4720509	1,533211	3,14953
427,0634224	1,470451	3,291128
428,6547397	1,420577	3,420132
430,2460174	1,38132	3,537382
431,8372726	1,350748	3,643667
433,428676	1,327219	3,739759
435,0199478	1,309324	3,826393
436,6112628	1,295852	3,904284
438,2024934	1,285759	3,974116
439,7938218	1,278151	4,036551
441,3852806	1,272254	4,092223
442,9765883	1,267409	4,141741
444,5679355	1,263051	4,185694
446,159199	1,258701	4,224651
447,7505769	1,253956	4,259152
449,3419496	1,248485	4,289721
450,9333593	1,242012	4,31686
452,5246863	1,234328	4,341058
454,1161417	1,225273	4,362773
455,7074417	1,214738	4,382455
457,2988024	1,202661	4,400536
458,8901077	1,189036	4,417425
460,481582	1,173905	4,433517
462,0729412	1,157375	4,449194
463,6642413	1,139665	4,464809
465,2557162	1,121107	4,480536
466,8470805	1,101908	4,496385
468,4383964	1,082204	4,51236
470,0297294	1,062082	4,528471
471,6211483	1,041615	4,544726
473,212364	1,020857	4,56113
474,8038084	0,999852	4,577687
476,3950114	0,978635	4,594402
477,9864129	0,957234	4,611283
479,5777241	0,935674	4,628334
481,1690234	0,913975	4,64556
482,7603928	0,892154	4,662966
484,3515392	0,870227	4,680552
485,9429252	0,848204	4,698327
487,5342601	0,826097	4,716293
489,1254398	0,803916	4,734453
490,7167472	0,781669	4,752812
492,3078878	0,759363	4,771369
493,8991506	0,737006	4,790129
495,4904376	0,714603	4,809097
497,0816497	0,692162	4,828274
498,6726861	0,669687	4,847658
500,2640507	0,64718	4,867256
501,8550424	0,624648	4,88707
503,4461702	0,602097	4,907097
505,0373402	0,579529	4,927345
506,6284571	0,556949	4,947811
508,2196329	0,534361	4,968498
509,8107739	0,511766	4,989404
511,4017853	0,489172	5,010535
512,9927833	0,466581	5,031888
514,5838884	0,443995	5,053466
516,1747951	0,42142	5,075268
517,7658404	0,398858	5,097297
519,3567181	0,376314	5,119552
520,947772	0,353792	5,14203
522,5386953	0,331294	5,164736
524,1296173	0,308826	5,187668
525,720449	0,286391	5,210827
527,3113246	0,263997	5,234211
528,9021569	0,24165	5,25782
530,4928578	0,219353	5,28165
532,0835663	0,197111	5,305694
533,6744259	0,174928	5,329952
535,2651224	0,152807	5,354418
536,8558001	0,13075	5,379086
538,4466076	0,108757	5,403956
540,0372277	0,086831	5,429024
541,62781	0,064976	5,454285
543,2185083	0,04319	5,479733
544,8090027	0,021475	5,505369
546,399448	-0,000168	5,531185
547,9900036	-0,021737	5,557182
549,5805902	-0,043234	5,583353
551,1708825	-0,064656	5,609694
552,7612878	-0,086004	5,636205
554,3517281	-0,107277	5,662883
555,9421246	-0,128476	5,68972
557,5323976	-0,1496	5,716717
559,1227184	-0,17065	5,743868
560,7130099	-0,191626	5,771173
562,3031939	-0,212528	5,798626
563,8934478	-0,233358	5,826224
565,4834382	-0,254113	5,853967
567,073603	-0,274798	5,881851
568,6636084	-0,295411	5,909871
570,2536387	-0,315953	5,938026
571,8436192	-0,336426	5,966312
573,4334745	-0,35683	5,994729
575,0233951	-0,377167	6,02327
576,6133082	-0,397437	6,051935
578,2031405	-0,417643	6,080721
579,7930887	-0,437785	6,109624
581,3828096	-0,457865	6,138644
582,9725016	-0,477885	6,167778
584,5620923	-0,497847	6,197022
586,1517859	-0,517752	6,226373
587,7415132	-0,537602	6,25583
589,330924	-0,557399	6,285391
590,9205064	-0,577146	6,315053
592,5099102	-0,596846	6,344814
594,0993478	-0,6165	6,374671
595,6884645	-0,636111	6,404621
597,2780498	-0,655683	6,434663
598,8671751	-0,675219	6,464795
600,4563468	-0,694722	6,495016
602,0454981	-0,714197	6,525322
603,6345616	-0,733647	6,55571
605,2237644	-0,753076	6,586181
606,8127454	-0,77249	6,616729
608,4017336	-0,791895	6,647355
609,9906632	-0,8113	6,678058
611,5794681	-0,830711	6,708833
613,1683844	-0,850143	6,739685
614,7573493	-0,869606	6,770619
616,3459928	-0,889105	6,801649
617,9345538	-0,908645	6,832777
619,5232768	-0,928229	6,864016
621,1117901	-0,94786	6,895369
622,70034	-0,967538	6,926846
624,2885502	-0,987265	6,958453
625,8769849	-1,00704	6,990199
627,465268	-1,026864	7,022086
629,0536547	-1,046735	7,054122
630,6417645	-1,066654	7,086316
632,2301767	-1,086618	7,118671
633,8181872	-1,106625	7,151194
635,4060552	-1,126675	7,183887
636,9940456	-1,146765	7,216759
638,5821005	-1,166892	7,249813
640,1698309	-1,187053	7,283053
641,7578368	-1,207247	7,316486
643,3453961	-1,227471	7,350115
644,9331142	-1,24772	7,383945
646,5209353	-1,267992	7,417976
648,1084641	-1,288285	7,452217
649,6956386	-1,308594	7,486668
651,2830802	-1,328915	7,521335
652,8703921	-1,349245	7,55622
654,4578608	-1,369581	7,591327
656,0450851	-1,389918	7,626656
657,6323538	-1,410253	7,662214
659,2192611	-1,430582	7,698002
660,8064503	-1,450901	7,734022
662,3931624	-1,471205	7,770278
663,9804019	-1,49149	7,806771
665,5670497	-1,511753	7,843502
667,1537606	-1,531989	7,880474
668,7404812	-1,552194	7,917691
670,3271575	-1,572363	7,955153
671,9137349	-1,592492	7,992861
673,5001586	-1,612577	8,030817
675,0863729	-1,632612	8,069023
676,6726912	-1,652595	8,107481
678,2590621	-1,672519	8,146191
679,8450611	-1,692381	8,185156
681,4313796	-1,712177	8,224375
683,0172175	-1,7319	8,263848
684,6032724	-1,751547	8,30358
686,1891159	-1,771113	8,343568
687,7750754	-1,790594	8,383815
689,360718	-1,809984	8,424319
690,9463736	-1,829279	8,465085
692,5319919	-1,848474	8,506109
694,1175219	-1,867564	8,547394
695,7029124	-1,886544	8,588941
697,2881116	-1,905409	8,630746
698,8734611	-1,924155	8,672812
700,4585179	-1,942775	8,71514
702,0436263	-1,961266	8,757731
703,6287382	-1,979622	8,800581
705,2134038	-1,997837	8,843693
706,7983744	-2,015907	8,887066
708,383201	-2,033825	8,9307
709,9678339	-2,051587	8,974594
711,5522225	-2,069186	9,018747
713,1371363	-2,086618	9,063163
714,721299	-2,103875	9,107836
716,305895	-2,120952	9,152769
717,8900517	-2,137843	9,197961
719,474134	-2,154541	9,243412
721,0580946	-2,171038	9,289118
722,6423066	-2,187329	9,335082
724,2263044	-2,203403	9,381302
725,8100391	-2,219254	9,427776
727,3934618	-2,234871	9,474507
728,9773799	-2,25024	9,521491
730,560894	-2,265348	9,568718
732,144386	-2,280186	9,616179
733,7278107	-2,294747	9,663863
735,3106866	-2,309026	9,711762
736,8942759	-2,323015	9,759871
738,4772242	-2,336712	9,808173
740,0603627	-2,350113	9,856665
741,6432062	-2,363214	9,905336
743,2257075	-2,376012	9,954178
744,8087133	-2,388506	10,003183
746,3912884	-2,400693	10,052342
747,9738354	-2,412571	10,101649
749,556311	-2,42414	10,151094
751,1382167	-2,435397	10,200671
752,7208735	-2,446343	10,250373
754,3028721	-2,456977	10,30019
755,8846227	-2,467298	10,350117
757,4665432	-2,477307	10,400146
759,0485938	-2,487002	10,45027
760,6302681	-2,496385	10,500484
762,2119884	-2,505457	10,550781
763,7932436	-2,514216	10,601153
765,3749319	-2,522665	10,651596
766,9560689	-2,530804	10,702102
768,5375598	-2,538634	10,752666
770,1184119	-2,546155	10,803281
771,6995375	-2,55337	10,853942
773,2804177	-2,56028	10,904644
774,8614935	-2,566885	10,955381
776,4417553	-2,573188	11,006148
778,0226179	-2,579189	11,056937
779,6030689	-2,584892	11,107748
781,1835561	-2,590296	11,15857
782,7635467	-2,595405	11,209403
784,343988	-2,60022	11,260239
785,9238503	-2,604743	11,311074
787,5035882	-2,608975	11,361905
789,0836639	-2,61292	11,412726
790,6635389	-2,616579	11,463533
792,2431727	-2,619955	11,514321
793,8225243	-2,623049	11,565088
795,4020629	-2,625863	11,615829
796,9812407	-2,628401	11,666535
798,5605302	-2,630664	11,71721
800,1393791	-2,632656	11,767845
801,7182633	-2,634377	11,818437
803,2971461	-2,635832	11,868984
804,8759907	-2,637021	11,919482
806,4542353	-2,637949	11,969925
808,0328895	-2,638616	12,020313
809,6113931	-2,639027	12,07064
811,1897078	-2,639183	12,120905
812,7677955	-2,639088	12,171102
814,3456175	-2,638743	12,221231
815,9236717	-2,638152	12,271286
817,5013861	-2,637317	12,321266
819,0787214	-2,636241	12,371167
820,6567239	-2,634927	12,420987
822,2337305	-2,633377	12,470724
823,8113366	-2,631594	12,520372
825,3884151	-2,629581	12,569935
826,9654769	-2,627341	12,619403
828,5424869	-2,624876	12,668774
830,11941	-2,62219	12,718052
831,695653	-2,619285	12,767228
833,2722939	-2,616164	12,816304
834,8487409	-2,61283	12,865276
836,4249578	-2,609286	12,91414
838,0014746	-2,605535	12,962896
839,5776924	-2,601578	13,011543
841,1535743	-2,597421	13,060079
842,729083	-2,593064	13,108498
844,3047559	-2,588512	13,1568
845,8805617	-2,583767	13,204987
847,4558896	-2,578832	13,25305
849,0312827	-2,57371	13,300992
850,6061255	-2,568405	13,348812
852,1815504	-2,562918	13,396503
853,7563558	-2,557253	13,44407
855,3310925	-2,551412	13,491508
856,9057272	-2,5454	13,538815
858,4802269	-2,539219	13,585991
860,054558	-2,532871	13,633032
861,6286867	-2,52636	13,679941
863,202579	-2,51969	13,72671
864,7768039	-2,512861	13,773346
866,3507281	-2,505879	13,819841
867,924317	-2,498746	13,866198
869,4981453	-2,491466	13,912411
871,0715726	-2,48404	13,958483
872,6445634	-2,476473	14,004412
874,2176985	-2,468767	14,050195
875,7909487	-2,460927	14,09583
